1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A20000002148E341
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Jul 25 17:00:01 MST 2014
Total Mission Samples:  4530
Total Device Samples:  16068
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/25/14 5:00:01 PM,%RH,35.828
7/25/14 7:00:01 PM,%RH,37.686
7/25/14 9:00:01 PM,%RH,65.127
7/25/14 11:00:01 PM,%RH,68.403
7/26/14 1:00:01 AM,%RH,72.161
7/26/14 3:00:01 AM,%RH,52.092
7/26/14 5:00:01 AM,%RH,61.24
7/26/14 7:00:01 AM,%RH,73.221
7/26/14 9:00:01 AM,%RH,49.158
7/26/14 11:00:01 AM,%RH,42.579
7/26/14 1:00:01 PM,%RH,42.579
7/26/14 3:00:01 PM,%RH,40.755
7/26/14 5:00:01 PM,%RH,29.54
7/26/14 7:00:01 PM,%RH,40.755
7/26/14 9:00:01 PM,%RH,51.508
7/26/14 11:00:01 PM,%RH,46.786
7/27/14 1:00:01 AM,%RH,46.189
7/27/14 3:00:01 AM,%RH,53.255
7/27/14 5:00:01 AM,%RH,60.678
7/27/14 7:00:01 AM,%RH,71.628
7/27/14 9:00:01 AM,%RH,53.255
7/27/14 11:00:01 AM,%RH,49.158
7/27/14 1:00:01 PM,%RH,46.786
7/27/14 3:00:01 PM,%RH,35.205
7/27/14 5:00:01 PM,%RH,45.591
7/27/14 7:00:01 PM,%RH,58.42
7/27/14 9:00:01 PM,%RH,79.977
7/27/14 11:00:01 PM,%RH,81.502
7/28/14 1:00:01 AM,%RH,70.022
7/28/14 3:00:01 AM,%RH,75.326
7/28/14 5:00:01 AM,%RH,93.239
7/28/14 7:00:01 AM,%RH,90.861
7/28/14 9:00:01 AM,%RH,87.473
7/28/14 11:00:01 AM,%RH,75.326
7/28/14 1:00:01 PM,%RH,92.292
7/28/14 3:00:01 PM,%RH,77.407
7/28/14 5:00:01 PM,%RH,81.502
7/28/14 7:00:01 PM,%RH,87.961
7/28/14 9:00:01 PM,%RH,96.969
7/28/14 11:00:01 PM,%RH,97.887
7/29/14 1:00:01 AM,%RH,95.581
7/29/14 3:00:01 AM,%RH,98.799
7/29/14 5:00:01 AM,%RH,97.428
7/29/14 7:00:01 AM,%RH,98.344
7/29/14 9:00:01 AM,%RH,91.34
7/29/14 11:00:01 AM,%RH,77.924
7/29/14 1:00:01 PM,%RH,69.484
7/29/14 3:00:01 PM,%RH,63.469
7/29/14 5:00:01 PM,%RH,69.484
7/29/14 7:00:01 PM,%RH,63.469
7/29/14 9:00:01 PM,%RH,67.861
7/29/14 11:00:01 PM,%RH,58.987
7/30/14 1:00:01 AM,%RH,58.987
7/30/14 3:00:01 AM,%RH,74.277
7/30/14 5:00:01 AM,%RH,78.44
7/30/14 7:00:01 AM,%RH,86.983
7/30/14 9:00:01 AM,%RH,58.42
7/30/14 11:00:01 AM,%RH,52.674
7/30/14 1:00:01 PM,%RH,60.116
7/30/14 3:00:01 PM,%RH,58.987
7/30/14 5:00:01 PM,%RH,46.786
7/30/14 7:00:01 PM,%RH,63.469
7/30/14 9:00:01 PM,%RH,70.559
7/30/14 11:00:01 PM,%RH,71.094
7/31/14 1:00:01 AM,%RH,71.628
7/31/14 3:00:01 AM,%RH,65.127
7/31/14 5:00:01 AM,%RH,63.469
7/31/14 7:00:01 AM,%RH,82.512
