1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A20000002148E341
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Jul 25 17:00:01 MST 2014
Total Mission Samples:  4530
Total Device Samples:  16068
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/25/14 5:00:01 PM,C,24.123
7/25/14 7:00:01 PM,C,20.12
7/25/14 9:00:01 PM,C,14.612
7/25/14 11:00:01 PM,C,12.608
7/26/14 1:00:01 AM,C,11.605
7/26/14 3:00:01 AM,C,15.614
7/26/14 5:00:01 AM,C,13.109
7/26/14 7:00:01 AM,C,10.603
7/26/14 9:00:01 AM,C,20.12
7/26/14 11:00:01 AM,C,21.622
7/26/14 1:00:01 PM,C,21.622
7/26/14 3:00:01 PM,C,22.122
7/26/14 5:00:01 PM,C,25.123
7/26/14 7:00:01 PM,C,20.621
7/26/14 9:00:01 PM,C,17.117
7/26/14 11:00:01 PM,C,17.117
7/27/14 1:00:01 AM,C,17.117
7/27/14 3:00:01 AM,C,15.113
7/27/14 5:00:01 AM,C,13.109
7/27/14 7:00:01 AM,C,11.605
7/27/14 9:00:01 AM,C,18.619
7/27/14 11:00:01 AM,C,21.622
7/27/14 1:00:01 PM,C,21.121
7/27/14 3:00:01 PM,C,21.622
7/27/14 5:00:01 PM,C,20.12
7/27/14 7:00:01 PM,C,17.617
7/27/14 9:00:01 PM,C,12.107
7/27/14 11:00:01 PM,C,11.605
7/28/14 1:00:01 AM,C,13.109
7/28/14 3:00:01 AM,C,12.107
7/28/14 5:00:01 AM,C,9.6
7/28/14 7:00:01 AM,C,9.098
7/28/14 9:00:01 AM,C,12.608
7/28/14 11:00:01 AM,C,14.111
7/28/14 1:00:01 PM,C,12.608
