1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AB000000215AF421
Is Mission Active?  true
Mission Start:  Thu Jul 02 13:01:00 MST 2015
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  320
Total Samples:  11465
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/2/15 1:01:00 PM,C,24
7/2/15 5:01:00 PM,C,12
7/2/15 9:01:00 PM,C,9.5
7/3/15 1:01:00 AM,C,7.5
7/3/15 5:01:00 AM,C,7
7/3/15 9:01:00 AM,C,11.5
7/3/15 1:01:00 PM,C,19.5
7/3/15 5:01:00 PM,C,13.5
7/3/15 9:01:00 PM,C,7.5
7/4/15 1:01:00 AM,C,6.5
7/4/15 5:01:00 AM,C,6
7/4/15 9:01:00 AM,C,10.5
7/4/15 1:01:00 PM,C,16
7/4/15 5:01:00 PM,C,16
7/4/15 9:01:00 PM,C,8.5
7/5/15 1:01:00 AM,C,8
7/5/15 5:01:00 AM,C,7.5
7/5/15 9:01:00 AM,C,10
7/5/15 1:01:00 PM,C,12
7/5/15 5:01:00 PM,C,10.5
7/5/15 9:01:00 PM,C,10
7/6/15 1:01:00 AM,C,8.5
7/6/15 5:01:00 AM,C,7.5
7/6/15 9:01:00 AM,C,11.5
7/6/15 1:01:00 PM,C,14
7/6/15 5:01:00 PM,C,12
7/6/15 9:01:00 PM,C,11
7/7/15 1:01:00 AM,C,7.5
7/7/15 5:01:00 AM,C,6.5
7/7/15 9:01:00 AM,C,10
7/7/15 1:01:00 PM,C,7.5
7/7/15 5:01:00 PM,C,8
7/7/15 9:01:00 PM,C,6
7/8/15 1:01:00 AM,C,7
7/8/15 5:01:00 AM,C,5
7/8/15 9:01:00 AM,C,7.5
7/8/15 1:01:00 PM,C,12
7/8/15 5:01:00 PM,C,11
7/8/15 9:01:00 PM,C,8
7/9/15 1:01:00 AM,C,6
7/9/15 5:01:00 AM,C,5.5
7/9/15 9:01:00 AM,C,9
7/9/15 1:01:00 PM,C,14
7/9/15 5:01:00 PM,C,8
7/9/15 9:01:00 PM,C,6.5
7/10/15 1:01:00 AM,C,4.5
7/10/15 5:01:00 AM,C,4.5
7/10/15 9:01:00 AM,C,7.5
7/10/15 1:01:00 PM,C,11
7/10/15 5:01:00 PM,C,10.5
7/10/15 9:01:00 PM,C,7.5
7/11/15 1:01:00 AM,C,5
7/11/15 5:01:00 AM,C,5.5
7/11/15 9:01:00 AM,C,7
7/11/15 1:01:00 PM,C,13.5
7/11/15 5:01:00 PM,C,15
7/11/15 9:01:00 PM,C,10.5
7/12/15 1:01:00 AM,C,9.5
7/12/15 5:01:00 AM,C,7.5
7/12/15 9:01:00 AM,C,10.5
7/12/15 1:01:00 PM,C,14.5
7/12/15 5:01:00 PM,C,10.5
7/12/15 9:01:00 PM,C,7.5
7/13/15 1:01:00 AM,C,7
7/13/15 5:01:00 AM,C,6
7/13/15 9:01:00 AM,C,9
7/13/15 1:01:00 PM,C,15.5
7/13/15 5:01:00 PM,C,16.5
7/13/15 9:01:00 PM,C,10.5
7/14/15 1:01:00 AM,C,8.5
7/14/15 5:01:00 AM,C,7
7/14/15 9:01:00 AM,C,10.5
7/14/15 1:01:00 PM,C,8.5
7/14/15 5:01:00 PM,C,11.5
7/14/15 9:01:00 PM,C,9
7/15/15 1:01:00 AM,C,7.5
7/15/15 5:01:00 AM,C,5
7/15/15 9:01:00 AM,C,8
7/15/15 1:01:00 PM,C,13.5
7/15/15 5:01:00 PM,C,14
7/15/15 9:01:00 PM,C,9
7/16/15 1:01:00 AM,C,6.5
7/16/15 5:01:00 AM,C,5
7/16/15 9:01:00 AM,C,10
7/16/15 1:01:00 PM,C,18
7/16/15 5:01:00 PM,C,16
7/16/15 9:01:00 PM,C,9.5
7/17/15 1:01:00 AM,C,6
7/17/15 5:01:00 AM,C,6
7/17/15 9:01:00 AM,C,11.5
7/17/15 1:01:00 PM,C,18.5
7/17/15 5:01:00 PM,C,17
7/17/15 9:01:00 PM,C,11.5
7/18/15 1:01:00 AM,C,8.5
7/18/15 5:01:00 AM,C,6.5
7/18/15 9:01:00 AM,C,11
7/18/15 1:01:00 PM,C,15.5
7/18/15 5:01:00 PM,C,14.5
7/18/15 9:01:00 PM,C,11
7/19/15 1:01:00 AM,C,8
7/19/15 5:01:00 AM,C,7.5
7/19/15 9:01:00 AM,C,9
7/19/15 1:01:00 PM,C,12
7/19/15 5:01:00 PM,C,13
7/19/15 9:01:00 PM,C,10
7/20/15 1:01:00 AM,C,6.5
7/20/15 5:01:00 AM,C,5.5
7/20/15 9:01:00 AM,C,10
7/20/15 1:01:00 PM,C,18
7/20/15 5:01:00 PM,C,15
7/20/15 9:01:00 PM,C,9
7/21/15 1:01:00 AM,C,8
7/21/15 5:01:00 AM,C,7
7/21/15 9:01:00 AM,C,9
