LongID,SensorID,zero-pt,Type,Notes_start,starting lifetime cycles,start_datetime,logging frequency,Estimated time full,date deployed,Location,Mapped?,deployment notes,AdvJuv,app height,Flag,Flag_description,Rollover,collected
B60000000B68F741,BAD,1.018,Used high capacity,,,,,,,,,,,,,,,
0F0000000B751741,T3_2013,0.549,Used high capacity,,,,,,6/20,ABLA-M-A,,Adult ABLA,Ad,4,N,,N,07/02/15
4F0000000B39FF41,T2_2013,0.128,Used high capacity,,21294,6/19/14 1:00pm,,,6/19,POTR-M-B,,adult POTR,Ad,8,Y,unk,,06/30/15
2F0000000B5FCF41,T1_2013,0.4,Used high capacity,"not totally constant, started at .543 then went down, with little jog up",?,6/20/14 1:00pm,,,6/20,ABLA-L-C,,not sure if set to start 6/20,Ad,3,N,,N,07/02/15
C80000001AED9941,T7_2013,0.085,Used high capacity,,8317,6/20/14 1:00pm,,,6/20,ABLA-M-B,,not sure if set to start 6/20,Ad,6,N,,N,07/02/15
B10000001AE9D741,T5_2013,0.077,Used high capacity,,,,,,,ABLA-H-D,,adult,Ad,2.5,N,,N,07/02/15
E10000001A7DDC41,T4_2013,0.086,Used high capacity,also labeled W3-A1,8444,,,,,PIPO-H-E,,WASN't SAMPLING,Ad,12,Y,not sampling,N,06/30/15
BC00000012F5EF41,T6_2013,0.065,Used high capacity,,,,,,,,,,,,,,,
810000002AE2FE21,TS3_2013,0,New low capacity T,,1778,6/20/14 1:00pm,,,6/20,ABLA-M-B,,"not sure if set to start 6/20, in BLUE CUP",Ad,2,Y,blue cup,Y,07/02/15
400000002AE5C221,T10L_2013,0,New low capacity T,,1807,,,,,,,,,,,,,
800000002AEDFC21,T9L_2013,0,New low capacity T,,1776,,,,,POTR-H-B,,sapling POTR,Juv,1,N,,Y,06/29/15
D90000002AB3FE21,TS1_2013,0,New low capacity T,,,,,,,Cabin,,,,,,,Y,10/01/15
990000002AF18821,T8L_2013,0,New low capacity T,,1774,,,,,,,,,,,,,
6A0000002AF15921,TS2-2013,0,New low capacity T,,1783,,,,,,,,,,,,,
D20000002AFDAC21,TS4_2013,0,New low capacity T,,1776,6/19/14 1:00pm,4 hrs,,6/19,POTR-L-E,,,,,,,,
30000000214E9A41,H3_2013,,old H,same new and old,3317,6/19/14 1:00pm,,,6/20,ABLA-M-C,,,Ad,2.5,N,,N,07/02/15
A3000000214B4D41,BAD,new: 1.042,old H,old:0.054,,,,,,,,,,,,,,
3C0000001AC27441,H2_2013,0.012,old H,,,6/20/14 1:00pm,,,6/20,POTR-H-B,,"check start date,PIPU",Ad,10,Y,check start date,N,06/19/15
8C0000002151EB41,H1_2013,0.535,old H,same new and old,,,,,,,,,,,,,,
0C000000214C7341,H4_2013,0.063,old H,same new and old,11488,6/19/14 1:00pm,2 hrs,,6/19,POTR-L-C,,adult PSME,Ad,15,N,,N,06/30/15
E5000000214A3341,H5_2013,0.628,old H,"new gets down to .126, but mostly at 0.628",,6/20/14 7pm,,,6/20,ABLA-H-D,,check start date,,,,collection date uncertain,,06/30/15
A20000002148E341,A2H_13,,old H,spare,11537,6/19/14 1:00pm,2 hrs,,6/19,POTR-M-E,,adult POTR,Ad,10,N,,N,06/30/15
H_2148E341,T1L_2014,0,new low capacity T,,189,6/19/14 1:00pm,4 hrs,early June 2015,6/20,ABLA-L-C,,sapling ABLa,Juv,1.3,N,,Y,07/02/15
2ADC2621,T2L_2014,0,new low capacity T,,207,6/19/14 1:00pm,4 hrs,early June 2015,6/20,POTR-H-D,,sapling PIEN,Juv,2,N,,Y,08/24/15
E8_2AECD221,T3L_2014,0,new low capacity T,,209,6/19/14 1:00pm,4 hrs,early June 2015,6/19,POTR-L-B,,height profile MID adult pip midcanopy,Ad,13,N,,Y,06/30/15
5E_2AF1CE21,T4L_2014,0,new low capacity T,,288,6/19/14 1:00pm,4 hrs,early june 2015,6/20,ABLA-H-D ,,JUV ABLA,Juv,1.8,N,,Y,07/02/15
31_2AE2EB21,T5L_2014,-0.5,new low capacity T,,297,6/19/14 1:00pm,4 hrs,early june 2015,6/20,ABLA-H-B,Lost Radiation Shield!,ad ABLA,Ad,4,Y,lost radiation shield,Y,08/25/15
AF_2AC94621,T6L_2014,0,new low capacity T,,282,6/19/14 1:00pm,4 hrs,early june 2015,6/20,ABLA-H-B,,juv abla,Juv,2,N,,Y,08/25/15
C9_2AFCF721,T7L_2014,0,new low capacity T,,303,6/19/14 1:00pm,4 hrs,early june 2015,6/18,PIPO-M-D,,,Ad,10,N,,Y,07/01/15
85_2AB35E21,T8L_2014,0.5,new low capacity T,,296,6/19/14 1:00pm,4 hrs,early june 2015,6/20,ABLA-H-11H ,in blue cup,ad ABLA,Ad,2,Y,in blue cup,Y,08/25/15
CF_2AF8A621,T9L_2014,0,new low capacity T,,294,6/19/14 1:00pm,4 hrs,early june 2015,6/19,POTR-M-A,,,,,,,,
9E_2AEA5221,T10L_2014,0,new low capacity T,,304,6/19/14 1:00pm,4 hrs,early june 2015,6/20,ABLA-H-12H,,Ad ABLA,Ad,2,N,,Y,08/25/15
37_2ACE7921,T11L_2014,0,new low capacity T,,293,6/19/14 1:00pm,4 hrs,early june 2015,,PIPO-H-Esoil,,soil N of T3?,soil,0,N,,Y,08/24/15
EF_2AE5B321,T12L_2014,0,new low capacity T,,299,6/19/14 1:00pm,4 hrs,early june 2015,6/18,PIPO-H-A,,roll over occured,Ad,3,N,,Y,06/30/15
75_2855CE21,T13L_2014,0,1 use low capacity T,,2806,6/19/14 1:00pm,4 hrs,early june 2015,6/18,PIPO-L-A,,probably gets sunny,Ad,12,Y,probably direct sun,Y,
0E_284DB621,T14L_2014,-0.5,1 use low capacity T,,2676,6/19/14 1:00pm,4 hrs,early june 2015,6/18,PIPO-L-E,,adult PIPO,Ad,12,N,,Y,07/01/15
54_2862AF21,T15L_2014 ,-0.5,1 use low capacity T,,2665,6/19/14 1:00pm,4 hrs,early june 2015,6/18,PIPO-M-E,,saping juniper,Juv,1,N,,Y,07/01/15
AD_28656E21,T16L_2014,0.5,1 use low capacity T,,2677,6/19/14 1:00pm,4 hrs,early june 2015,6/19,POTR-M-C,,adult POTR,Ad,10,N,,Y,06/30/15
