1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 930000001ACC9B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 19 13:00:01 MST 2014
Total Mission Samples:  4096
Total Device Samples:  21186
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/14 1:00:01 PM,C,24.129
6/19/14 3:00:01 PM,C,25.629
6/19/14 5:00:01 PM,C,30.627
6/19/14 7:00:01 PM,C,22.628
6/19/14 9:00:01 PM,C,13.619
6/19/14 11:00:01 PM,C,11.615
6/20/14 1:00:01 AM,C,10.613
6/20/14 3:00:01 AM,C,9.611
6/20/14 5:00:01 AM,C,9.11
6/20/14 7:00:01 AM,C,9.11
6/20/14 9:00:01 AM,C,20.127
6/20/14 11:00:01 AM,C,25.629
6/20/14 1:00:01 PM,C,26.129
6/20/14 3:00:01 PM,C,29.128
6/20/14 5:00:01 PM,C,32.625
6/20/14 7:00:01 PM,C,24.629
6/20/14 9:00:01 PM,C,17.124
6/20/14 11:00:01 PM,C,16.123
6/21/14 1:00:01 AM,C,14.621
6/21/14 3:00:01 AM,C,13.118
6/21/14 5:00:01 AM,C,11.114
6/21/14 7:00:01 AM,C,11.615
6/21/14 9:00:01 AM,C,22.128
6/21/14 11:00:01 AM,C,24.629
6/21/14 1:00:01 PM,C,25.629
6/21/14 3:00:01 PM,C,26.129
6/21/14 5:00:01 PM,C,27.629
6/21/14 7:00:01 PM,C,24.129
6/21/14 9:00:01 PM,C,17.625
6/21/14 11:00:01 PM,C,15.622
6/22/14 1:00:01 AM,C,14.621
6/22/14 3:00:01 AM,C,13.118
