1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3C0000001AC27441
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Fri Jun 20 13:00:01 MST 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Jun 20 13:00:01 MST 2014
Total Mission Samples:  4096
Total Device Samples:  23318
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/20/14 1:00:01 PM,C,16.562
6/20/14 3:00:01 PM,C,18.064
6/20/14 5:00:01 PM,C,18.064
6/20/14 7:00:01 PM,C,16.562
6/20/14 9:00:01 PM,C,10.549
6/20/14 11:00:01 PM,C,11.051
6/21/14 1:00:01 AM,C,10.549
6/21/14 3:00:01 AM,C,9.045
6/21/14 5:00:01 AM,C,8.544
6/21/14 7:00:01 AM,C,9.547
6/21/14 9:00:01 AM,C,13.055
6/21/14 11:00:01 AM,C,16.061
6/21/14 1:00:01 PM,C,16.061
6/21/14 3:00:01 PM,C,16.061
6/21/14 5:00:01 PM,C,16.562
6/21/14 7:00:01 PM,C,15.059
6/21/14 9:00:01 PM,C,11.051
6/21/14 11:00:01 PM,C,9.547
6/22/14 1:00:01 AM,C,10.048
6/22/14 3:00:01 AM,C,9.045
6/22/14 5:00:01 AM,C,8.544
6/22/14 7:00:01 AM,C,9.045
6/22/14 9:00:01 AM,C,12.554
6/22/14 11:00:01 AM,C,14.057
6/22/14 1:00:01 PM,C,16.562
6/22/14 3:00:01 PM,C,17.563
6/22/14 5:00:01 PM,C,17.063
6/22/14 7:00:01 PM,C,16.061
6/22/14 9:00:01 PM,C,11.051
6/22/14 11:00:01 PM,C,9.547
6/23/14 1:00:01 AM,C,11.051
6/23/14 3:00:01 AM,C,8.544
6/23/14 5:00:01 AM,C,9.045
6/23/14 7:00:01 AM,C,10.048
6/23/14 9:00:01 AM,C,14.057
6/23/14 11:00:01 AM,C,15.56
6/23/14 1:00:01 PM,C,17.063
6/23/14 3:00:01 PM,C,18.565
6/23/14 5:00:01 PM,C,18.064
6/23/14 7:00:01 PM,C,16.562
6/23/14 9:00:01 PM,C,13.556
6/23/14 11:00:01 PM,C,11.552
6/24/14 1:00:01 AM,C,9.547
6/24/14 3:00:01 AM,C,9.547
6/24/14 5:00:01 AM,C,8.042
6/24/14 7:00:01 AM,C,8.042
6/24/14 9:00:01 AM,C,13.556
6/24/14 11:00:01 AM,C,16.562
6/24/14 1:00:01 PM,C,18.565
6/24/14 3:00:01 PM,C,19.065
6/24/14 5:00:01 PM,C,19.065
6/24/14 7:00:01 PM,C,18.064
6/24/14 9:00:01 PM,C,12.554
6/24/14 11:00:01 PM,C,10.048
6/25/14 1:00:01 AM,C,10.048
6/25/14 3:00:01 AM,C,9.547
6/25/14 5:00:01 AM,C,8.544
6/25/14 7:00:01 AM,C,8.042
6/25/14 9:00:01 AM,C,13.055
6/25/14 11:00:01 AM,C,16.061
6/25/14 1:00:01 PM,C,18.064
6/25/14 3:00:01 PM,C,19.065
6/25/14 5:00:01 PM,C,19.065
6/25/14 7:00:01 PM,C,17.563
6/25/14 9:00:01 PM,C,13.055
6/25/14 11:00:01 PM,C,10.549
6/26/14 1:00:01 AM,C,9.547
6/26/14 3:00:01 AM,C,10.048
6/26/14 5:00:01 AM,C,8.042
6/26/14 7:00:01 AM,C,7.541
6/26/14 9:00:01 AM,C,12.554
6/26/14 11:00:01 AM,C,15.059
6/26/14 1:00:01 PM,C,17.063
6/26/14 3:00:01 PM,C,18.565
6/26/14 5:00:01 PM,C,16.562
6/26/14 7:00:01 PM,C,15.059
6/26/14 9:00:01 PM,C,14.057
6/26/14 11:00:01 PM,C,12.053
6/27/14 1:00:01 AM,C,11.552
6/27/14 3:00:01 AM,C,9.547
6/27/14 5:00:01 AM,C,7.541
6/27/14 7:00:01 AM,C,7.541
6/27/14 9:00:01 AM,C,10.048
6/27/14 11:00:01 AM,C,11.552
6/27/14 1:00:01 PM,C,13.055
6/27/14 3:00:01 PM,C,13.556
6/27/14 5:00:01 PM,C,13.055
6/27/14 7:00:01 PM,C,12.053
6/27/14 9:00:01 PM,C,11.051
6/27/14 11:00:01 PM,C,10.549
6/28/14 1:00:01 AM,C,9.547
6/28/14 3:00:01 AM,C,8.544
6/28/14 5:00:01 AM,C,8.042
6/28/14 7:00:01 AM,C,7.541
6/28/14 9:00:01 AM,C,10.048
6/28/14 11:00:01 AM,C,12.554
6/28/14 1:00:01 PM,C,14.057
6/28/14 3:00:01 PM,C,15.56
6/28/14 5:00:01 PM,C,17.063
6/28/14 7:00:01 PM,C,16.061
6/28/14 9:00:01 PM,C,12.053
6/28/14 11:00:01 PM,C,9.547
6/29/14 1:00:01 AM,C,9.547
6/29/14 3:00:01 AM,C,9.547
6/29/14 5:00:01 AM,C,9.547
6/29/14 7:00:01 AM,C,9.547
6/29/14 9:00:01 AM,C,14.057
6/29/14 11:00:01 AM,C,17.063
6/29/14 1:00:01 PM,C,19.566
6/29/14 3:00:01 PM,C,20.066
6/29/14 5:00:01 PM,C,20.567
6/29/14 7:00:01 PM,C,19.566
6/29/14 9:00:01 PM,C,14.558
6/29/14 11:00:01 PM,C,13.055
6/30/14 1:00:01 AM,C,12.554
6/30/14 3:00:01 AM,C,12.053
6/30/14 5:00:01 AM,C,11.552
6/30/14 7:00:01 AM,C,11.552
6/30/14 9:00:01 AM,C,16.061
6/30/14 11:00:01 AM,C,19.065
6/30/14 1:00:01 PM,C,18.565
6/30/14 3:00:01 PM,C,21.067
6/30/14 5:00:01 PM,C,21.067
6/30/14 7:00:01 PM,C,20.066
6/30/14 9:00:01 PM,C,17.063
6/30/14 11:00:01 PM,C,15.56
7/1/14 1:00:01 AM,C,14.558
7/1/14 3:00:01 AM,C,13.556
7/1/14 5:00:01 AM,C,12.554
7/1/14 7:00:01 AM,C,13.055
7/1/14 9:00:01 AM,C,15.059
7/1/14 11:00:01 AM,C,17.563
7/1/14 1:00:01 PM,C,19.065
7/1/14 3:00:01 PM,C,20.066
7/1/14 5:00:01 PM,C,20.066
7/1/14 7:00:01 PM,C,19.065
7/1/14 9:00:01 PM,C,15.56
7/1/14 11:00:01 PM,C,14.558
7/2/14 1:00:01 AM,C,14.057
7/2/14 3:00:01 AM,C,10.549
7/2/14 5:00:01 AM,C,9.045
7/2/14 7:00:01 AM,C,9.045
7/2/14 9:00:01 AM,C,14.057
7/2/14 11:00:01 AM,C,16.562
7/2/14 1:00:01 PM,C,18.565
7/2/14 3:00:01 PM,C,19.065
7/2/14 5:00:01 PM,C,18.064
7/2/14 7:00:01 PM,C,19.065
7/2/14 9:00:01 PM,C,14.558
7/2/14 11:00:01 PM,C,13.055
7/3/14 1:00:01 AM,C,13.556
7/3/14 3:00:01 AM,C,12.053
7/3/14 5:00:01 AM,C,11.051
7/3/14 7:00:01 AM,C,11.051
7/3/14 9:00:01 AM,C,14.057
7/3/14 11:00:01 AM,C,16.061
7/3/14 1:00:01 PM,C,17.563
7/3/14 3:00:01 PM,C,13.055
7/3/14 5:00:01 PM,C,16.061
7/3/14 7:00:01 PM,C,17.563
7/3/14 9:00:01 PM,C,15.059
7/3/14 11:00:01 PM,C,14.057
7/4/14 1:00:01 AM,C,12.053
7/4/14 3:00:01 AM,C,10.048
7/4/14 5:00:01 AM,C,10.549
7/4/14 7:00:01 AM,C,9.045
7/4/14 9:00:01 AM,C,13.556
7/4/14 11:00:01 AM,C,16.562
7/4/14 1:00:01 PM,C,19.065
7/4/14 3:00:01 PM,C,9.547
7/4/14 5:00:01 PM,C,12.554
7/4/14 7:00:01 PM,C,10.048
7/4/14 9:00:01 PM,C,9.045
7/4/14 11:00:01 PM,C,8.544
7/5/14 1:00:01 AM,C,8.544
7/5/14 3:00:01 AM,C,7.541
7/5/14 5:00:01 AM,C,7.039
7/5/14 7:00:01 AM,C,7.541
7/5/14 9:00:01 AM,C,13.055
7/5/14 11:00:01 AM,C,15.56
7/5/14 1:00:01 PM,C,13.556
7/5/14 3:00:01 PM,C,8.544
7/5/14 5:00:01 PM,C,11.051
7/5/14 7:00:01 PM,C,9.547
7/5/14 9:00:01 PM,C,11.051
7/5/14 11:00:01 PM,C,12.554
7/6/14 1:00:01 AM,C,10.048
7/6/14 3:00:01 AM,C,8.544
7/6/14 5:00:01 AM,C,8.042
7/6/14 7:00:01 AM,C,11.051
7/6/14 9:00:01 AM,C,14.057
7/6/14 11:00:01 AM,C,15.56
7/6/14 1:00:01 PM,C,17.063
7/6/14 3:00:01 PM,C,14.558
7/6/14 5:00:01 PM,C,12.554
7/6/14 7:00:01 PM,C,15.56
7/6/14 9:00:01 PM,C,15.059
7/6/14 11:00:01 PM,C,15.56
7/7/14 1:00:01 AM,C,13.055
7/7/14 3:00:01 AM,C,13.556
7/7/14 5:00:01 AM,C,12.053
7/7/14 7:00:01 AM,C,12.053
7/7/14 9:00:01 AM,C,15.56
7/7/14 11:00:01 AM,C,17.563
7/7/14 1:00:01 PM,C,20.066
7/7/14 3:00:01 PM,C,15.56
7/7/14 5:00:01 PM,C,16.061
7/7/14 7:00:01 PM,C,14.057
7/7/14 9:00:01 PM,C,14.558
7/7/14 11:00:01 PM,C,13.556
7/8/14 1:00:01 AM,C,11.051
7/8/14 3:00:01 AM,C,11.051
7/8/14 5:00:01 AM,C,10.549
7/8/14 7:00:01 AM,C,12.053
7/8/14 9:00:01 AM,C,15.059
7/8/14 11:00:01 AM,C,18.064
7/8/14 1:00:01 PM,C,19.566
7/8/14 3:00:01 PM,C,18.565
