1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 280000001ABDD941
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 19 13:00:01 MST 2014
Total Mission Samples:  4096
Total Device Samples:  16812
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/14 1:00:01 PM,%RH,15.629
6/19/14 3:00:01 PM,%RH,14.933
6/19/14 5:00:01 PM,%RH,12.836
6/19/14 7:00:01 PM,%RH,14.235
6/19/14 9:00:01 PM,%RH,21.852
6/19/14 11:00:01 PM,%RH,27.987
6/20/14 1:00:01 AM,%RH,28.664
6/20/14 3:00:01 AM,%RH,30.013
6/20/14 5:00:01 AM,%RH,28.664
6/20/14 7:00:01 AM,%RH,35.369
6/20/14 9:00:01 AM,%RH,21.852
6/20/14 11:00:01 AM,%RH,14.235
6/20/14 1:00:01 PM,%RH,14.235
6/20/14 3:00:01 PM,%RH,11.433
6/20/14 5:00:01 PM,%RH,11.433
6/20/14 7:00:01 PM,%RH,13.536
6/20/14 9:00:01 PM,%RH,21.165
6/20/14 11:00:01 PM,%RH,23.223
6/21/14 1:00:01 AM,%RH,27.31
6/21/14 3:00:01 AM,%RH,25.271
6/21/14 5:00:01 AM,%RH,30.687
6/21/14 7:00:01 AM,%RH,34.703
6/21/14 9:00:01 AM,%RH,21.165
6/21/14 11:00:01 AM,%RH,19.097
6/21/14 1:00:01 PM,%RH,17.713
6/21/14 3:00:01 PM,%RH,16.325
6/21/14 5:00:01 PM,%RH,15.629
6/21/14 7:00:01 PM,%RH,16.325
6/21/14 9:00:01 PM,%RH,23.907
6/21/14 11:00:01 PM,%RH,27.31
6/22/14 1:00:01 AM,%RH,27.987
6/22/14 3:00:01 AM,%RH,31.359
6/22/14 5:00:01 AM,%RH,34.036
6/22/14 7:00:01 AM,%RH,37.359
6/22/14 9:00:01 AM,%RH,21.165
6/22/14 11:00:01 AM,%RH,17.713
6/22/14 1:00:01 PM,%RH,16.325
6/22/14 3:00:01 PM,%RH,12.836
6/22/14 5:00:01 PM,%RH,15.629
6/22/14 7:00:01 PM,%RH,13.536
6/22/14 9:00:01 PM,%RH,25.952
6/22/14 11:00:01 PM,%RH,31.359
6/23/14 1:00:01 AM,%RH,30.687
6/23/14 3:00:01 AM,%RH,32.03
6/23/14 5:00:01 AM,%RH,33.369
6/23/14 7:00:01 AM,%RH,37.359
6/23/14 9:00:01 AM,%RH,20.476
6/23/14 11:00:01 AM,%RH,13.536
6/23/14 1:00:01 PM,%RH,13.536
6/23/14 3:00:01 PM,%RH,12.836
6/23/14 5:00:01 PM,%RH,7.906
6/23/14 7:00:01 PM,%RH,10.73
6/23/14 9:00:01 PM,%RH,17.713
6/23/14 11:00:01 PM,%RH,25.952
6/24/14 1:00:01 AM,%RH,23.223
6/24/14 3:00:01 AM,%RH,25.271
6/24/14 5:00:01 AM,%RH,26.631
6/24/14 7:00:01 AM,%RH,28.664
6/24/14 9:00:01 AM,%RH,17.02
6/24/14 11:00:01 AM,%RH,13.536
6/24/14 1:00:01 PM,%RH,12.135
6/24/14 3:00:01 PM,%RH,11.433
6/24/14 5:00:01 PM,%RH,10.025
6/24/14 7:00:01 PM,%RH,12.135
6/24/14 9:00:01 PM,%RH,16.325
6/24/14 11:00:01 PM,%RH,22.538
6/25/14 1:00:01 AM,%RH,25.271
6/25/14 3:00:01 AM,%RH,26.631
6/25/14 5:00:01 AM,%RH,30.687
6/25/14 7:00:01 AM,%RH,35.369
6/25/14 9:00:01 AM,%RH,18.406
6/25/14 11:00:01 AM,%RH,14.933
6/25/14 1:00:01 PM,%RH,12.836
6/25/14 3:00:01 PM,%RH,11.433
6/25/14 5:00:01 PM,%RH,11.433
6/25/14 7:00:01 PM,%RH,12.135
6/25/14 9:00:01 PM,%RH,19.097
6/25/14 11:00:01 PM,%RH,24.589
6/26/14 1:00:01 AM,%RH,23.907
6/26/14 3:00:01 AM,%RH,28.664
6/26/14 5:00:01 AM,%RH,32.7
6/26/14 7:00:01 AM,%RH,31.359
6/26/14 9:00:01 AM,%RH,20.476
6/26/14 11:00:01 AM,%RH,15.629
6/26/14 1:00:01 PM,%RH,13.536
6/26/14 3:00:01 PM,%RH,12.836
6/26/14 5:00:01 PM,%RH,14.933
6/26/14 7:00:01 PM,%RH,14.235
6/26/14 9:00:01 PM,%RH,15.629
6/26/14 11:00:01 PM,%RH,19.097
6/27/14 1:00:01 AM,%RH,23.223
6/27/14 3:00:01 AM,%RH,28.664
6/27/14 5:00:01 AM,%RH,34.703
6/27/14 7:00:01 AM,%RH,45.226
6/27/14 9:00:01 AM,%RH,33.369
6/27/14 11:00:01 AM,%RH,28.664
6/27/14 1:00:01 PM,%RH,25.952
6/27/14 3:00:01 PM,%RH,25.271
6/27/14 5:00:01 PM,%RH,25.952
6/27/14 7:00:01 PM,%RH,27.31
6/27/14 9:00:01 PM,%RH,34.703
6/27/14 11:00:01 PM,%RH,44.576
6/28/14 1:00:01 AM,%RH,43.925
6/28/14 3:00:01 AM,%RH,44.576
6/28/14 5:00:01 AM,%RH,45.874
6/28/14 7:00:01 AM,%RH,41.967
6/28/14 9:00:01 AM,%RH,28.664
6/28/14 11:00:01 AM,%RH,23.223
6/28/14 1:00:01 PM,%RH,19.097
6/28/14 3:00:01 PM,%RH,14.933
6/28/14 5:00:01 PM,%RH,17.713
6/28/14 7:00:01 PM,%RH,18.406
6/28/14 9:00:01 PM,%RH,30.013
6/28/14 11:00:01 PM,%RH,33.369
6/29/14 1:00:01 AM,%RH,32.7
6/29/14 3:00:01 AM,%RH,36.033
6/29/14 5:00:01 AM,%RH,38.681
6/29/14 7:00:01 AM,%RH,34.703
6/29/14 9:00:01 AM,%RH,21.165
6/29/14 11:00:01 AM,%RH,17.713
6/29/14 1:00:01 PM,%RH,17.713
6/29/14 3:00:01 PM,%RH,14.933
6/29/14 5:00:01 PM,%RH,15.629
6/29/14 7:00:01 PM,%RH,14.933
6/29/14 9:00:01 PM,%RH,23.907
6/29/14 11:00:01 PM,%RH,31.359
6/30/14 1:00:01 AM,%RH,30.687
6/30/14 3:00:01 AM,%RH,31.359
6/30/14 5:00:01 AM,%RH,36.697
6/30/14 7:00:01 AM,%RH,40.656
6/30/14 9:00:01 AM,%RH,23.907
6/30/14 11:00:01 AM,%RH,17.713
6/30/14 1:00:01 PM,%RH,15.629
6/30/14 3:00:01 PM,%RH,12.836
6/30/14 5:00:01 PM,%RH,11.433
6/30/14 7:00:01 PM,%RH,12.836
6/30/14 9:00:01 PM,%RH,19.097
6/30/14 11:00:01 PM,%RH,22.538
7/1/14 1:00:01 AM,%RH,23.223
7/1/14 3:00:01 AM,%RH,23.907
7/1/14 5:00:01 AM,%RH,30.687
7/1/14 7:00:01 AM,%RH,36.033
7/1/14 9:00:01 AM,%RH,26.631
7/1/14 11:00:01 AM,%RH,16.325
7/1/14 1:00:01 PM,%RH,14.933
7/1/14 3:00:01 PM,%RH,12.135
7/1/14 5:00:01 PM,%RH,10.73
7/1/14 7:00:01 PM,%RH,11.433
7/1/14 9:00:01 PM,%RH,19.097
7/1/14 11:00:01 PM,%RH,23.907
7/2/14 1:00:01 AM,%RH,23.907
7/2/14 3:00:01 AM,%RH,27.987
7/2/14 5:00:01 AM,%RH,32.03
7/2/14 7:00:01 AM,%RH,46.522
7/2/14 9:00:01 AM,%RH,41.312
7/2/14 11:00:01 AM,%RH,32.7
7/2/14 1:00:01 PM,%RH,26.631
7/2/14 3:00:01 PM,%RH,16.325
7/2/14 5:00:01 PM,%RH,18.406
7/2/14 7:00:01 PM,%RH,18.406
7/2/14 9:00:01 PM,%RH,25.952
7/2/14 11:00:01 PM,%RH,32.03
7/3/14 1:00:01 AM,%RH,37.359
7/3/14 3:00:01 AM,%RH,49.743
7/3/14 5:00:01 AM,%RH,47.813
7/3/14 7:00:01 AM,%RH,49.101
7/3/14 9:00:01 AM,%RH,38.681
7/3/14 11:00:01 AM,%RH,30.687
7/3/14 1:00:01 PM,%RH,25.271
7/3/14 3:00:01 PM,%RH,29.339
7/3/14 5:00:01 PM,%RH,23.907
7/3/14 7:00:01 PM,%RH,19.787
7/3/14 9:00:01 PM,%RH,34.036
7/3/14 11:00:01 PM,%RH,35.369
7/4/14 1:00:01 AM,%RH,42.621
7/4/14 3:00:01 AM,%RH,51.024
7/4/14 5:00:01 AM,%RH,54.841
