1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 30000000214E9A41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Fri Jun 20 13:00:01 MST 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Jun 20 13:00:01 MST 2014
Total Mission Samples:  4096
Total Device Samples:  15566
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/20/14 1:00:01 PM,%RH,33.226
6/20/14 3:00:01 PM,%RH,20.823
6/20/14 5:00:01 PM,%RH,17.496
6/20/14 7:00:01 PM,%RH,18.163
6/20/14 9:00:01 PM,%RH,29.35
6/20/14 11:00:01 PM,%RH,30.646
6/21/14 1:00:01 AM,%RH,28.05
6/21/14 3:00:01 AM,%RH,31.938
6/21/14 5:00:01 AM,%RH,31.938
6/21/14 7:00:01 AM,%RH,36.426
6/21/14 9:00:01 AM,%RH,29.35
6/21/14 11:00:01 AM,%RH,23.466
6/21/14 1:00:01 PM,%RH,28.05
6/21/14 3:00:01 PM,%RH,25.437
6/21/14 5:00:01 PM,%RH,24.781
6/21/14 7:00:01 PM,%RH,25.437
6/21/14 9:00:01 PM,%RH,38.334
6/21/14 11:00:01 PM,%RH,35.149
6/22/14 1:00:01 AM,%RH,37.063
6/22/14 3:00:01 AM,%RH,39.601
6/22/14 5:00:01 AM,%RH,38.968
6/22/14 7:00:01 AM,%RH,45.248
6/22/14 9:00:01 AM,%RH,38.334
6/22/14 11:00:01 AM,%RH,32.582
6/22/14 1:00:01 PM,%RH,26.092
6/22/14 3:00:01 PM,%RH,22.146
6/22/14 5:00:01 PM,%RH,21.485
6/22/14 7:00:01 PM,%RH,23.466
6/22/14 9:00:01 PM,%RH,35.149
6/22/14 11:00:01 PM,%RH,33.868
6/23/14 1:00:01 AM,%RH,35.149
6/23/14 3:00:01 AM,%RH,37.699
6/23/14 5:00:01 AM,%RH,39.601
6/23/14 7:00:01 AM,%RH,41.492
6/23/14 9:00:01 AM,%RH,37.063
6/23/14 11:00:01 AM,%RH,26.745
6/23/14 1:00:01 PM,%RH,21.485
6/23/14 3:00:01 PM,%RH,24.124
6/23/14 5:00:01 PM,%RH,15.487
6/23/14 7:00:01 PM,%RH,18.163
6/23/14 9:00:01 PM,%RH,28.05
6/23/14 11:00:01 PM,%RH,26.745
6/24/14 1:00:01 AM,%RH,26.745
6/24/14 3:00:01 AM,%RH,24.781
6/24/14 5:00:01 AM,%RH,28.05
6/24/14 7:00:01 AM,%RH,33.868
6/24/14 9:00:01 AM,%RH,28.701
6/24/14 11:00:01 AM,%RH,20.16
6/24/14 1:00:01 PM,%RH,17.496
6/24/14 3:00:01 PM,%RH,17.496
6/24/14 5:00:01 PM,%RH,15.487
6/24/14 7:00:01 PM,%RH,18.163
6/24/14 9:00:01 PM,%RH,24.124
6/24/14 11:00:01 PM,%RH,24.124
6/25/14 1:00:01 AM,%RH,24.781
6/25/14 3:00:01 AM,%RH,28.05
6/25/14 5:00:01 AM,%RH,31.293
6/25/14 7:00:01 AM,%RH,37.063
6/25/14 9:00:01 AM,%RH,37.063
6/25/14 11:00:01 AM,%RH,22.807
6/25/14 1:00:01 PM,%RH,20.823
6/25/14 3:00:01 PM,%RH,17.496
6/25/14 5:00:01 PM,%RH,16.158
6/25/14 7:00:01 PM,%RH,18.163
6/25/14 9:00:01 PM,%RH,26.745
6/25/14 11:00:01 PM,%RH,26.092
6/26/14 1:00:01 AM,%RH,26.092
6/26/14 3:00:01 AM,%RH,28.701
6/26/14 5:00:01 AM,%RH,29.999
6/26/14 7:00:01 AM,%RH,38.334
6/26/14 9:00:01 AM,%RH,34.509
6/26/14 11:00:01 AM,%RH,25.437
6/26/14 1:00:01 PM,%RH,21.485
6/26/14 3:00:01 PM,%RH,18.83
6/26/14 5:00:01 PM,%RH,24.124
6/26/14 7:00:01 PM,%RH,24.781
6/26/14 9:00:01 PM,%RH,25.437
6/26/14 11:00:01 PM,%RH,26.745
6/27/14 1:00:01 AM,%RH,35.149
6/27/14 3:00:01 AM,%RH,41.492
6/27/14 5:00:01 AM,%RH,50.81
6/27/14 7:00:01 AM,%RH,56.286
6/27/14 9:00:01 AM,%RH,58.092
6/27/14 11:00:01 AM,%RH,49.581
6/27/14 1:00:01 PM,%RH,37.063
6/27/14 3:00:01 PM,%RH,45.248
6/27/14 5:00:01 PM,%RH,45.87
6/27/14 7:00:01 PM,%RH,45.87
6/27/14 9:00:01 PM,%RH,53.863
6/27/14 11:00:01 PM,%RH,60.486
6/28/14 1:00:01 AM,%RH,62.863
6/28/14 3:00:01 AM,%RH,64.635
6/28/14 5:00:01 AM,%RH,62.271
6/28/14 7:00:01 AM,%RH,60.486
6/28/14 9:00:01 AM,%RH,50.196
6/28/14 11:00:01 AM,%RH,28.05
6/28/14 1:00:01 PM,%RH,28.701
6/28/14 3:00:01 PM,%RH,23.466
6/28/14 5:00:01 PM,%RH,22.807
6/28/14 7:00:01 PM,%RH,31.293
6/28/14 9:00:01 PM,%RH,41.492
6/28/14 11:00:01 PM,%RH,40.863
6/29/14 1:00:01 AM,%RH,40.863
6/29/14 3:00:01 AM,%RH,42.121
6/29/14 5:00:01 AM,%RH,44
6/29/14 7:00:01 AM,%RH,43.375
6/29/14 9:00:01 AM,%RH,42.121
6/29/14 11:00:01 AM,%RH,26.745
6/29/14 1:00:01 PM,%RH,24.124
6/29/14 3:00:01 PM,%RH,21.485
6/29/14 5:00:01 PM,%RH,19.495
6/29/14 7:00:01 PM,%RH,23.466
6/29/14 9:00:01 PM,%RH,31.938
6/29/14 11:00:01 PM,%RH,33.868
6/30/14 1:00:01 AM,%RH,32.582
6/30/14 3:00:01 AM,%RH,37.063
6/30/14 5:00:01 AM,%RH,40.863
6/30/14 7:00:01 AM,%RH,45.87
6/30/14 9:00:01 AM,%RH,42.121
6/30/14 11:00:01 AM,%RH,28.05
6/30/14 1:00:01 PM,%RH,28.05
6/30/14 3:00:01 PM,%RH,23.466
6/30/14 5:00:01 PM,%RH,17.496
6/30/14 7:00:01 PM,%RH,20.16
6/30/14 9:00:01 PM,%RH,28.05
6/30/14 11:00:01 PM,%RH,32.582
7/1/14 1:00:01 AM,%RH,33.226
7/1/14 3:00:01 AM,%RH,31.938
7/1/14 5:00:01 AM,%RH,37.699
7/1/14 7:00:01 AM,%RH,39.601
7/1/14 9:00:01 AM,%RH,28.701
7/1/14 11:00:01 AM,%RH,26.092
7/1/14 1:00:01 PM,%RH,21.485
7/1/14 3:00:01 PM,%RH,22.146
7/1/14 5:00:01 PM,%RH,20.16
7/1/14 7:00:01 PM,%RH,21.485
7/1/14 9:00:01 PM,%RH,28.05
7/1/14 11:00:01 PM,%RH,28.701
7/2/14 1:00:01 AM,%RH,26.092
7/2/14 3:00:01 AM,%RH,26.745
7/2/14 5:00:01 AM,%RH,33.226
7/2/14 7:00:01 AM,%RH,38.968
7/2/14 9:00:01 AM,%RH,44.625
7/2/14 11:00:01 AM,%RH,33.226
7/2/14 1:00:01 PM,%RH,38.334
7/2/14 3:00:01 PM,%RH,26.092
7/2/14 5:00:01 PM,%RH,29.35
7/2/14 7:00:01 PM,%RH,22.807
7/2/14 9:00:01 PM,%RH,31.293
