1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 63000000214AA241
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 19 13:00:01 MST 2014
Total Mission Samples:  4096
Total Device Samples:  14330
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/14 1:00:01 PM,%RH,14.229
6/19/14 3:00:01 PM,%RH,12.855
6/19/14 5:00:01 PM,%RH,11.477
6/19/14 7:00:01 PM,%RH,13.543
6/19/14 9:00:01 PM,%RH,26.389
6/19/14 11:00:01 PM,%RH,29.7
6/20/14 1:00:01 AM,%RH,30.359
6/20/14 3:00:01 AM,%RH,30.359
6/20/14 5:00:01 AM,%RH,29.7
6/20/14 7:00:01 AM,%RH,36.885
6/20/14 9:00:01 AM,%RH,19.002
6/20/14 11:00:01 AM,%RH,12.855
6/20/14 1:00:01 PM,%RH,13.543
6/20/14 3:00:01 PM,%RH,10.786
6/20/14 5:00:01 PM,%RH,10.786
6/20/14 7:00:01 PM,%RH,13.543
6/20/14 9:00:01 PM,%RH,27.717
6/20/14 11:00:01 PM,%RH,26.389
6/21/14 1:00:01 AM,%RH,25.723
6/21/14 3:00:01 AM,%RH,27.717
6/21/14 5:00:01 AM,%RH,31.674
6/21/14 7:00:01 AM,%RH,38.176
6/21/14 9:00:01 AM,%RH,23.049
6/21/14 11:00:01 AM,%RH,15.599
6/21/14 1:00:01 PM,%RH,16.282
6/21/14 3:00:01 PM,%RH,14.915
6/21/14 5:00:01 PM,%RH,16.282
6/21/14 7:00:01 PM,%RH,16.282
6/21/14 9:00:01 PM,%RH,27.717
6/21/14 11:00:01 PM,%RH,32.983
6/22/14 1:00:01 AM,%RH,31.674
6/22/14 3:00:01 AM,%RH,34.289
6/22/14 5:00:01 AM,%RH,36.885
6/22/14 7:00:01 AM,%RH,41.385
6/22/14 9:00:01 AM,%RH,20.356
6/22/14 11:00:01 AM,%RH,16.282
6/22/14 1:00:01 PM,%RH,14.915
6/22/14 3:00:01 PM,%RH,14.915
6/22/14 5:00:01 PM,%RH,14.229
6/22/14 7:00:01 PM,%RH,16.282
6/22/14 9:00:01 PM,%RH,29.7
6/22/14 11:00:01 PM,%RH,32.983
6/23/14 1:00:01 AM,%RH,32.983
6/23/14 3:00:01 AM,%RH,31.674
6/23/14 5:00:01 AM,%RH,34.289
6/23/14 7:00:01 AM,%RH,38.176
6/23/14 9:00:01 AM,%RH,20.356
6/23/14 11:00:01 AM,%RH,12.167
6/23/14 1:00:01 PM,%RH,12.167
6/23/14 3:00:01 PM,%RH,11.477
6/23/14 5:00:01 PM,%RH,8.01
6/23/14 7:00:01 PM,%RH,11.477
6/23/14 9:00:01 PM,%RH,19.679
6/23/14 11:00:01 PM,%RH,27.053
6/24/14 1:00:01 AM,%RH,25.056
6/24/14 3:00:01 AM,%RH,24.388
6/24/14 5:00:01 AM,%RH,27.717
6/24/14 7:00:01 AM,%RH,31.674
6/24/14 9:00:01 AM,%RH,16.282
6/24/14 11:00:01 AM,%RH,11.477
6/24/14 1:00:01 PM,%RH,10.786
6/24/14 3:00:01 PM,%RH,11.477
6/24/14 5:00:01 PM,%RH,9.4
6/24/14 7:00:01 PM,%RH,10.094
6/24/14 9:00:01 PM,%RH,18.324
6/24/14 11:00:01 PM,%RH,23.719
6/25/14 1:00:01 AM,%RH,26.389
6/25/14 3:00:01 AM,%RH,27.717
6/25/14 5:00:01 AM,%RH,31.017
6/25/14 7:00:01 AM,%RH,36.885
6/25/14 9:00:01 AM,%RH,16.964
6/25/14 11:00:01 AM,%RH,12.167
