1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0C000000214C7341
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 19 13:00:01 MST 2014
Total Mission Samples:  4096
Total Device Samples:  15585
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/14 1:00:01 PM,%RH,18.432
6/19/14 3:00:01 PM,%RH,15.682
6/19/14 5:00:01 PM,%RH,13.606
6/19/14 7:00:01 PM,%RH,14.991
6/19/14 9:00:01 PM,%RH,43.623
6/19/14 11:00:01 PM,%RH,38.461
6/20/14 1:00:01 AM,%RH,27.911
6/20/14 3:00:01 AM,%RH,36.506
6/20/14 5:00:01 AM,%RH,50.597
6/20/14 7:00:01 AM,%RH,45.539
6/20/14 9:00:01 AM,%RH,17.059
6/20/14 11:00:01 AM,%RH,18.432
6/20/14 1:00:01 PM,%RH,17.059
6/20/14 3:00:01 PM,%RH,13.606
6/20/14 5:00:01 PM,%RH,12.217
6/20/14 7:00:01 PM,%RH,14.991
6/20/14 9:00:01 PM,%RH,36.506
6/20/14 11:00:01 PM,%RH,33.224
6/21/14 1:00:01 AM,%RH,34.54
6/21/14 3:00:01 AM,%RH,43.623
6/21/14 5:00:01 AM,%RH,51.85
6/21/14 7:00:01 AM,%RH,47.445
6/21/14 9:00:01 AM,%RH,25.899
6/21/14 11:00:01 AM,%RH,19.801
6/21/14 1:00:01 PM,%RH,20.483
6/21/14 3:00:01 PM,%RH,18.432
6/21/14 5:00:01 PM,%RH,18.432
6/21/14 7:00:01 PM,%RH,18.432
6/21/14 9:00:01 PM,%RH,42.34
6/21/14 11:00:01 PM,%RH,42.982
6/22/14 1:00:01 AM,%RH,36.506
6/22/14 3:00:01 AM,%RH,43.623
6/22/14 5:00:01 AM,%RH,46.176
6/22/14 7:00:01 AM,%RH,42.982
6/22/14 9:00:01 AM,%RH,29.246
6/22/14 11:00:01 AM,%RH,23.201
6/22/14 1:00:01 PM,%RH,18.432
6/22/14 3:00:01 PM,%RH,17.059
6/22/14 5:00:01 PM,%RH,14.991
6/22/14 7:00:01 PM,%RH,18.432
6/22/14 9:00:01 PM,%RH,44.263
6/22/14 11:00:01 PM,%RH,48.709
6/23/14 1:00:01 AM,%RH,44.902
6/23/14 3:00:01 AM,%RH,41.051
6/23/14 5:00:01 AM,%RH,43.623
6/23/14 7:00:01 AM,%RH,37.811
6/23/14 9:00:01 AM,%RH,21.164
6/23/14 11:00:01 AM,%RH,19.117
6/23/14 1:00:01 PM,%RH,15.682
6/23/14 3:00:01 PM,%RH,15.682
6/23/14 5:00:01 PM,%RH,9.424
6/23/14 7:00:01 PM,%RH,12.217
6/23/14 9:00:01 PM,%RH,28.579
6/23/14 11:00:01 PM,%RH,33.224
6/24/14 1:00:01 AM,%RH,35.852
6/24/14 3:00:01 AM,%RH,37.811
6/24/14 5:00:01 AM,%RH,51.224
6/24/14 7:00:01 AM,%RH,45.539
6/24/14 9:00:01 AM,%RH,18.432
6/24/14 11:00:01 AM,%RH,14.299
6/24/14 1:00:01 PM,%RH,13.606
6/24/14 3:00:01 PM,%RH,14.299
6/24/14 5:00:01 PM,%RH,10.822
6/24/14 7:00:01 PM,%RH,12.217
6/24/14 9:00:01 PM,%RH,27.911
6/24/14 11:00:01 PM,%RH,34.54
6/25/14 1:00:01 AM,%RH,36.506
6/25/14 3:00:01 AM,%RH,30.577
6/25/14 5:00:01 AM,%RH,39.11
6/25/14 7:00:01 AM,%RH,39.759
6/25/14 9:00:01 AM,%RH,18.432
6/25/14 11:00:01 AM,%RH,16.371
6/25/14 1:00:01 PM,%RH,14.299
6/25/14 3:00:01 PM,%RH,12.912
6/25/14 5:00:01 PM,%RH,12.217
6/25/14 7:00:01 PM,%RH,13.606
6/25/14 9:00:01 PM,%RH,25.226
6/25/14 11:00:01 PM,%RH,36.506
6/26/14 1:00:01 AM,%RH,29.912
6/26/14 3:00:01 AM,%RH,36.506
6/26/14 5:00:01 AM,%RH,37.159
6/26/14 7:00:01 AM,%RH,44.902
6/26/14 9:00:01 AM,%RH,19.801
6/26/14 11:00:01 AM,%RH,19.801
6/26/14 1:00:01 PM,%RH,15.682
6/26/14 3:00:01 PM,%RH,17.059
6/26/14 5:00:01 PM,%RH,17.059
6/26/14 7:00:01 PM,%RH,17.746
6/26/14 9:00:01 PM,%RH,19.117
6/26/14 11:00:01 PM,%RH,21.844
6/27/14 1:00:01 AM,%RH,27.242
6/27/14 3:00:01 AM,%RH,32.564
6/27/14 5:00:01 AM,%RH,47.445
6/27/14 7:00:01 AM,%RH,61.702
6/27/14 9:00:01 AM,%RH,31.903
6/27/14 11:00:01 AM,%RH,37.811
6/27/14 1:00:01 PM,%RH,31.24
6/27/14 3:00:01 PM,%RH,33.224
