1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E5000000214A3341
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Fri Jun 20 19:01:01 MST 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Jun 20 19:01:01 MST 2014
Total Mission Samples:  4096
Total Device Samples:  15665
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/20/14 7:01:01 PM,C,16.678
6/20/14 9:01:01 PM,C,11.166
6/20/14 11:01:01 PM,C,11.166
6/21/14 1:01:01 AM,C,10.665
6/21/14 3:01:01 AM,C,9.662
6/21/14 5:01:01 AM,C,10.164
6/21/14 7:01:01 AM,C,10.164
6/21/14 9:01:01 AM,C,11.668
6/21/14 11:01:01 AM,C,15.176
6/21/14 1:01:01 PM,C,15.176
6/21/14 3:01:01 PM,C,15.677
6/21/14 5:01:01 PM,C,16.678
6/21/14 7:01:01 PM,C,13.673
6/21/14 9:01:01 PM,C,10.164
6/21/14 11:01:01 PM,C,9.662
6/22/14 1:01:01 AM,C,9.161
6/22/14 3:01:01 AM,C,9.161
6/22/14 5:01:01 AM,C,9.161
6/22/14 7:01:01 AM,C,9.161
6/22/14 9:01:01 AM,C,10.665
6/22/14 11:01:01 AM,C,12.67
6/22/14 1:01:01 PM,C,16.678
6/22/14 3:01:01 PM,C,18.181
6/22/14 5:01:01 PM,C,23.185
6/22/14 7:01:01 PM,C,15.677
6/22/14 9:01:01 PM,C,10.665
6/22/14 11:01:01 PM,C,10.164
6/23/14 1:01:01 AM,C,11.166
6/23/14 3:01:01 AM,C,8.659
6/23/14 5:01:01 AM,C,9.161
6/23/14 7:01:01 AM,C,9.161
6/23/14 9:01:01 AM,C,10.665
6/23/14 11:01:01 AM,C,12.67
6/23/14 1:01:01 PM,C,14.174
6/23/14 3:01:01 PM,C,15.677
6/23/14 5:01:01 PM,C,23.685
6/23/14 7:01:01 PM,C,17.179
6/23/14 9:01:01 PM,C,12.169
6/23/14 11:01:01 PM,C,11.668
6/24/14 1:01:01 AM,C,10.164
6/24/14 3:01:01 AM,C,9.161
6/24/14 5:01:01 AM,C,8.659
6/24/14 7:01:01 AM,C,8.659
6/24/14 9:01:01 AM,C,10.164
6/24/14 11:01:01 AM,C,15.176
6/24/14 1:01:01 PM,C,15.677
6/24/14 3:01:01 PM,C,20.183
6/24/14 5:01:01 PM,C,25.186
6/24/14 7:01:01 PM,C,17.179
6/24/14 9:01:01 PM,C,12.169
6/24/14 11:01:01 PM,C,10.164
6/25/14 1:01:01 AM,C,11.166
6/25/14 3:01:01 AM,C,10.665
6/25/14 5:01:01 AM,C,8.659
6/25/14 7:01:01 AM,C,8.158
6/25/14 9:01:01 AM,C,9.662
6/25/14 11:01:01 AM,C,14.675
6/25/14 1:01:01 PM,C,17.68
6/25/14 3:01:01 PM,C,19.182
6/25/14 5:01:01 PM,C,25.186
6/25/14 7:01:01 PM,C,17.68
6/25/14 9:01:01 PM,C,12.67
6/25/14 11:01:01 PM,C,11.668
6/26/14 1:01:01 AM,C,11.668
6/26/14 3:01:01 AM,C,10.665
6/26/14 5:01:01 AM,C,9.161
6/26/14 7:01:01 AM,C,8.158
6/26/14 9:01:01 AM,C,10.665
6/26/14 11:01:01 AM,C,13.171
6/26/14 1:01:01 PM,C,17.179
6/26/14 3:01:01 PM,C,19.182
6/26/14 5:01:01 PM,C,15.176
6/26/14 7:01:01 PM,C,13.171
6/26/14 9:01:01 PM,C,11.166
6/26/14 11:01:01 PM,C,10.164
6/27/14 1:01:01 AM,C,8.659
6/27/14 3:01:01 AM,C,7.154
6/27/14 5:01:01 AM,C,6.151
6/27/14 7:01:01 AM,C,6.151
6/27/14 9:01:01 AM,C,7.154
6/27/14 11:01:01 AM,C,8.158
6/27/14 1:01:01 PM,C,13.171
6/27/14 3:01:01 PM,C,11.668
6/27/14 5:01:01 PM,C,10.665
6/27/14 7:01:01 PM,C,10.164
6/27/14 9:01:01 PM,C,8.659
6/27/14 11:01:01 PM,C,8.659
6/28/14 1:01:01 AM,C,8.158
6/28/14 3:01:01 AM,C,6.653
6/28/14 5:01:01 AM,C,5.649
6/28/14 7:01:01 AM,C,4.645
6/28/14 9:01:01 AM,C,7.154
6/28/14 11:01:01 AM,C,10.665
6/28/14 1:01:01 PM,C,13.673
6/28/14 3:01:01 PM,C,15.677
6/28/14 5:01:01 PM,C,22.685
6/28/14 7:01:01 PM,C,16.177
6/28/14 9:01:01 PM,C,11.166
6/28/14 11:01:01 PM,C,10.665
6/29/14 1:01:01 AM,C,11.166
6/29/14 3:01:01 AM,C,11.166
6/29/14 5:01:01 AM,C,11.166
6/29/14 7:01:01 AM,C,10.164
6/29/14 9:01:01 AM,C,12.169
6/29/14 11:01:01 AM,C,15.677
6/29/14 1:01:01 PM,C,18.681
6/29/14 3:01:01 PM,C,21.184
6/29/14 5:01:01 PM,C,26.685
