1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5C000000214E8B41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4096
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 19 13:00:01 MST 2014
Total Mission Samples:  4096
Total Device Samples:  13310
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/14 1:00:01 PM,%RH,16.119
6/19/14 3:00:01 PM,%RH,16.821
6/19/14 5:00:01 PM,%RH,19.612
6/19/14 7:00:01 PM,%RH,22.379
6/19/14 9:00:01 PM,%RH,23.067
6/19/14 11:00:01 PM,%RH,28.516
6/20/14 1:00:01 AM,%RH,30.534
6/20/14 3:00:01 AM,%RH,31.204
6/20/14 5:00:01 AM,%RH,32.539
6/20/14 7:00:01 AM,%RH,31.872
6/20/14 9:00:01 AM,%RH,32.539
6/20/14 11:00:01 AM,%RH,23.754
6/20/14 1:00:01 PM,%RH,20.999
6/20/14 3:00:01 PM,%RH,18.22
6/20/14 5:00:01 PM,%RH,17.521
6/20/14 7:00:01 PM,%RH,18.22
6/20/14 9:00:01 PM,%RH,18.917
6/20/14 11:00:01 PM,%RH,18.22
6/21/14 1:00:01 AM,%RH,18.22
6/21/14 3:00:01 AM,%RH,18.917
6/21/14 5:00:01 AM,%RH,20.999
6/21/14 7:00:01 AM,%RH,21.69
6/21/14 9:00:01 AM,%RH,27.163
6/21/14 11:00:01 AM,%RH,27.163
6/21/14 1:00:01 PM,%RH,27.163
6/21/14 3:00:01 PM,%RH,24.438
6/21/14 5:00:01 PM,%RH,23.754
6/21/14 7:00:01 PM,%RH,23.754
6/21/14 9:00:01 PM,%RH,32.539
6/21/14 11:00:01 PM,%RH,26.484
6/22/14 1:00:01 AM,%RH,25.122
6/22/14 3:00:01 AM,%RH,25.804
6/22/14 5:00:01 AM,%RH,27.163
6/22/14 7:00:01 AM,%RH,29.863
6/22/14 9:00:01 AM,%RH,30.534
6/22/14 11:00:01 AM,%RH,29.863
6/22/14 1:00:01 PM,%RH,23.754
6/22/14 3:00:01 PM,%RH,21.69
6/22/14 5:00:01 PM,%RH,21.69
6/22/14 7:00:01 PM,%RH,21.69
6/22/14 9:00:01 PM,%RH,23.754
6/22/14 11:00:01 PM,%RH,23.067
6/23/14 1:00:01 AM,%RH,23.754
6/23/14 3:00:01 AM,%RH,25.122
6/23/14 5:00:01 AM,%RH,25.804
6/23/14 7:00:01 AM,%RH,25.122
6/23/14 9:00:01 AM,%RH,20.306
6/23/14 11:00:01 AM,%RH,27.163
6/23/14 1:00:01 PM,%RH,22.379
6/23/14 3:00:01 PM,%RH,17.521
6/23/14 5:00:01 PM,%RH,16.119
6/23/14 7:00:01 PM,%RH,16.119
6/23/14 9:00:01 PM,%RH,19.612
6/23/14 11:00:01 PM,%RH,17.521
6/24/14 1:00:01 AM,%RH,15.416
6/24/14 3:00:01 AM,%RH,16.119
6/24/14 5:00:01 AM,%RH,16.821
6/24/14 7:00:01 AM,%RH,16.821
6/24/14 9:00:01 AM,%RH,16.821
6/24/14 11:00:01 AM,%RH,20.306
6/24/14 1:00:01 PM,%RH,15.416
6/24/14 3:00:01 PM,%RH,17.521
6/24/14 5:00:01 PM,%RH,15.416
6/24/14 7:00:01 PM,%RH,14.711
6/24/14 9:00:01 PM,%RH,20.306
6/24/14 11:00:01 PM,%RH,16.821
6/25/14 1:00:01 AM,%RH,16.821
6/25/14 3:00:01 AM,%RH,16.821
6/25/14 5:00:01 AM,%RH,19.612
6/25/14 7:00:01 AM,%RH,20.999
6/25/14 9:00:01 AM,%RH,16.821
6/25/14 11:00:01 AM,%RH,25.122
6/25/14 1:00:01 PM,%RH,20.306
6/25/14 3:00:01 PM,%RH,18.22
6/25/14 5:00:01 PM,%RH,16.119
6/25/14 7:00:01 PM,%RH,16.119
6/25/14 9:00:01 PM,%RH,20.999
6/25/14 11:00:01 PM,%RH,19.612
6/26/14 1:00:01 AM,%RH,18.22
6/26/14 3:00:01 AM,%RH,20.999
6/26/14 5:00:01 AM,%RH,22.379
6/26/14 7:00:01 AM,%RH,24.438
6/26/14 9:00:01 AM,%RH,23.067
6/26/14 11:00:01 AM,%RH,27.84
6/26/14 1:00:01 PM,%RH,20.999
6/26/14 3:00:01 PM,%RH,20.999
6/26/14 5:00:01 PM,%RH,22.379
6/26/14 7:00:01 PM,%RH,23.754
6/26/14 9:00:01 PM,%RH,20.999
6/26/14 11:00:01 PM,%RH,24.438
6/27/14 1:00:01 AM,%RH,31.204
6/27/14 3:00:01 AM,%RH,37.163
6/27/14 5:00:01 AM,%RH,45.553
6/27/14 7:00:01 AM,%RH,53.069
6/27/14 9:00:01 AM,%RH,44.916
6/27/14 11:00:01 AM,%RH,46.187
6/27/14 1:00:01 PM,%RH,38.47
6/27/14 3:00:01 PM,%RH,41.712
6/27/14 5:00:01 PM,%RH,41.712
6/27/14 7:00:01 PM,%RH,43.639
6/27/14 9:00:01 PM,%RH,48.082
6/27/14 11:00:01 PM,%RH,49.338
6/28/14 1:00:01 AM,%RH,52.451
6/28/14 3:00:01 AM,%RH,56.136
6/28/14 5:00:01 AM,%RH,51.21
6/28/14 7:00:01 AM,%RH,46.821
6/28/14 9:00:01 AM,%RH,31.204
6/28/14 11:00:01 AM,%RH,31.872
6/28/14 1:00:01 PM,%RH,27.84
6/28/14 3:00:01 PM,%RH,26.484
6/28/14 5:00:01 PM,%RH,25.804
6/28/14 7:00:01 PM,%RH,27.84
6/28/14 9:00:01 PM,%RH,33.868
6/28/14 11:00:01 PM,%RH,31.204
6/29/14 1:00:01 AM,%RH,28.516
6/29/14 3:00:01 AM,%RH,31.204
6/29/14 5:00:01 AM,%RH,32.539
6/29/14 7:00:01 AM,%RH,29.863
6/29/14 9:00:01 AM,%RH,25.122
6/29/14 11:00:01 AM,%RH,29.19
6/29/14 1:00:01 PM,%RH,23.754
6/29/14 3:00:01 PM,%RH,20.999
