1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 9E0000000B74B741
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4538
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 19 13:00:01 MST 2014
Total Mission Samples:  4538
Total Device Samples:  10052
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/14 1:00:01 PM,C,34.719
6/19/14 3:00:01 PM,C,26.732
6/19/14 5:00:01 PM,C,22.231
6/19/14 7:00:01 PM,C,23.732
6/19/14 9:00:01 PM,C,14.214
6/19/14 11:00:01 PM,C,17.223
6/20/14 1:00:01 AM,C,12.709
6/20/14 3:00:01 AM,C,7.687
6/20/14 5:00:01 AM,C,4.167
6/20/14 7:00:01 AM,C,1.651
6/20/14 9:00:01 AM,C,15.719
6/20/14 11:00:01 AM,C,18.726
6/20/14 1:00:01 PM,C,22.731
6/20/14 3:00:01 PM,C,24.232
6/20/14 5:00:01 PM,C,19.728
6/20/14 7:00:01 PM,C,14.716
6/20/14 9:00:01 PM,C,10.701
6/20/14 11:00:01 PM,C,10.199
6/21/14 1:00:01 AM,C,9.697
6/21/14 3:00:01 AM,C,8.19
6/21/14 5:00:01 AM,C,10.199
6/21/14 7:00:01 AM,C,10.199
6/21/14 9:00:01 AM,C,11.203
6/21/14 11:00:01 AM,C,15.218
6/21/14 1:00:01 PM,C,13.211
6/21/14 3:00:01 PM,C,12.709
6/21/14 5:00:01 PM,C,14.716
6/21/14 7:00:01 PM,C,12.207
6/21/14 9:00:01 PM,C,9.697
6/21/14 11:00:01 PM,C,9.194
6/22/14 1:00:01 AM,C,8.19
6/22/14 3:00:01 AM,C,8.692
6/22/14 5:00:01 AM,C,9.194
6/22/14 7:00:01 AM,C,9.194
6/22/14 9:00:01 AM,C,9.697
6/22/14 11:00:01 AM,C,11.705
6/22/14 1:00:01 PM,C,14.716
6/22/14 3:00:01 PM,C,15.218
6/22/14 5:00:01 PM,C,18.225
6/22/14 7:00:01 PM,C,14.716
6/22/14 9:00:01 PM,C,10.199
6/22/14 11:00:01 PM,C,10.199
6/23/14 1:00:01 AM,C,9.194
6/23/14 3:00:01 AM,C,8.692
6/23/14 5:00:01 AM,C,8.692
6/23/14 7:00:01 AM,C,9.697
6/23/14 9:00:01 AM,C,9.697
6/23/14 11:00:01 AM,C,13.211
6/23/14 1:00:01 PM,C,12.709
6/23/14 3:00:01 PM,C,14.716
6/23/14 5:00:01 PM,C,19.728
6/23/14 7:00:01 PM,C,15.218
6/23/14 9:00:01 PM,C,11.705
6/23/14 11:00:01 PM,C,11.203
6/24/14 1:00:01 AM,C,9.194
6/24/14 3:00:01 AM,C,8.692
6/24/14 5:00:01 AM,C,7.687
6/24/14 7:00:01 AM,C,8.19
6/24/14 9:00:01 AM,C,9.697
6/24/14 11:00:01 AM,C,17.724
6/24/14 1:00:01 PM,C,13.713
6/24/14 3:00:01 PM,C,16.722
6/24/14 5:00:01 PM,C,20.229
6/24/14 7:00:01 PM,C,15.719
6/24/14 9:00:01 PM,C,11.705
6/24/14 11:00:01 PM,C,9.697
6/25/14 1:00:01 AM,C,11.203
6/25/14 3:00:01 AM,C,10.701
6/25/14 5:00:01 AM,C,8.19
6/25/14 7:00:01 AM,C,8.19
6/25/14 9:00:01 AM,C,9.697
6/25/14 11:00:01 AM,C,16.22
6/25/14 1:00:01 PM,C,15.218
