1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 100000001DAF0E41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4517
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jun 19 13:00:01 MST 2014
Total Mission Samples:  4517
Total Device Samples:  10119
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/14 1:00:01 PM,C,37.614
6/19/14 3:00:01 PM,C,26.629
6/19/14 5:00:01 PM,C,17.623
6/19/14 7:00:01 PM,C,14.617
6/19/14 9:00:01 PM,C,8.601
6/19/14 11:00:01 PM,C,6.594
6/20/14 1:00:01 AM,C,6.092
6/20/14 3:00:01 AM,C,5.59
6/20/14 5:00:01 AM,C,4.083
6/20/14 7:00:01 AM,C,4.083
6/20/14 9:00:01 AM,C,11.109
6/20/14 11:00:01 AM,C,17.623
6/20/14 1:00:01 PM,C,20.126
6/20/14 3:00:01 PM,C,21.127
6/20/14 5:00:01 PM,C,21.127
6/20/14 7:00:01 PM,C,17.623
6/20/14 9:00:01 PM,C,12.111
6/20/14 11:00:01 PM,C,10.607
6/21/14 1:00:01 AM,C,10.106
6/21/14 3:00:01 AM,C,8.099
6/21/14 5:00:01 AM,C,8.099
6/21/14 7:00:01 AM,C,8.601
6/21/14 9:00:01 AM,C,11.61
6/21/14 11:00:01 AM,C,19.125
6/21/14 1:00:01 PM,C,19.125
6/21/14 3:00:01 PM,C,18.625
6/21/14 5:00:01 PM,C,18.625
6/21/14 7:00:01 PM,C,16.621
6/21/14 9:00:01 PM,C,11.61
6/21/14 11:00:01 PM,C,9.604
6/22/14 1:00:01 AM,C,9.604
6/22/14 3:00:01 AM,C,8.601
6/22/14 5:00:01 AM,C,8.099
6/22/14 7:00:01 AM,C,8.601
6/22/14 9:00:01 AM,C,14.116
6/22/14 11:00:01 AM,C,17.122
6/22/14 1:00:01 PM,C,20.627
6/22/14 3:00:01 PM,C,21.127
6/22/14 5:00:01 PM,C,19.125
6/22/14 7:00:01 PM,C,17.122
6/22/14 9:00:01 PM,C,11.61
6/22/14 11:00:01 PM,C,9.604
6/23/14 1:00:01 AM,C,8.601
6/23/14 3:00:01 AM,C,8.099
6/23/14 5:00:01 AM,C,9.604
6/23/14 7:00:01 AM,C,9.604
6/23/14 9:00:01 AM,C,13.615
6/23/14 11:00:01 AM,C,19.125
6/23/14 1:00:01 PM,C,22.128
6/23/14 3:00:01 PM,C,20.627
6/23/14 5:00:01 PM,C,21.628
6/23/14 7:00:01 PM,C,17.122
6/23/14 9:00:01 PM,C,12.613
6/23/14 11:00:01 PM,C,10.607
6/24/14 1:00:01 AM,C,9.102
6/24/14 3:00:01 AM,C,8.099
6/24/14 5:00:01 AM,C,7.095
6/24/14 7:00:01 AM,C,7.095
6/24/14 9:00:01 AM,C,13.114
6/24/14 11:00:01 AM,C,19.626
6/24/14 1:00:01 PM,C,22.128
6/24/14 3:00:01 PM,C,22.128
6/24/14 5:00:01 PM,C,22.128
6/24/14 7:00:01 PM,C,18.625
6/24/14 9:00:01 PM,C,12.613
6/24/14 11:00:01 PM,C,10.106
6/25/14 1:00:01 AM,C,9.102
6/25/14 3:00:01 AM,C,9.102
6/25/14 5:00:01 AM,C,7.597
6/25/14 7:00:01 AM,C,7.095
6/25/14 9:00:01 AM,C,13.114
6/25/14 11:00:01 AM,C,19.125
6/25/14 1:00:01 PM,C,21.127
6/25/14 3:00:01 PM,C,22.628
6/25/14 5:00:01 PM,C,21.628
6/25/14 7:00:01 PM,C,19.125
6/25/14 9:00:01 PM,C,13.114
6/25/14 11:00:01 PM,C,11.109
6/26/14 1:00:01 AM,C,10.106
6/26/14 3:00:01 AM,C,9.604
6/26/14 5:00:01 AM,C,7.597
6/26/14 7:00:01 AM,C,7.597
6/26/14 9:00:01 AM,C,13.615
6/26/14 11:00:01 AM,C,18.625
6/26/14 1:00:01 PM,C,20.627
6/26/14 3:00:01 PM,C,21.127
6/26/14 5:00:01 PM,C,18.124
6/26/14 7:00:01 PM,C,16.621
6/26/14 9:00:01 PM,C,15.62
6/26/14 11:00:01 PM,C,13.615
6/27/14 1:00:01 AM,C,13.114
6/27/14 3:00:01 AM,C,10.607
6/27/14 5:00:01 AM,C,8.601
6/27/14 7:00:01 AM,C,9.102
6/27/14 9:00:01 AM,C,12.111
6/27/14 11:00:01 AM,C,14.116
6/27/14 1:00:01 PM,C,16.621
6/27/14 3:00:01 PM,C,17.122
6/27/14 5:00:01 PM,C,16.621
6/27/14 7:00:01 PM,C,14.116
6/27/14 9:00:01 PM,C,11.109
6/27/14 11:00:01 PM,C,10.106
6/28/14 1:00:01 AM,C,10.106
6/28/14 3:00:01 AM,C,9.604
6/28/14 5:00:01 AM,C,9.604
6/28/14 7:00:01 AM,C,8.601
6/28/14 9:00:01 AM,C,11.61
6/28/14 11:00:01 AM,C,15.62
6/28/14 1:00:01 PM,C,19.125
6/28/14 3:00:01 PM,C,20.126
6/28/14 5:00:01 PM,C,20.126
6/28/14 7:00:01 PM,C,17.623
6/28/14 9:00:01 PM,C,12.111
6/28/14 11:00:01 PM,C,9.604
6/29/14 1:00:01 AM,C,9.604
6/29/14 3:00:01 AM,C,9.102
6/29/14 5:00:01 AM,C,8.601
6/29/14 7:00:01 AM,C,9.102
6/29/14 9:00:01 AM,C,14.617
6/29/14 11:00:01 AM,C,20.627
6/29/14 1:00:01 PM,C,23.629
6/29/14 3:00:01 PM,C,23.629
6/29/14 5:00:01 PM,C,23.629
6/29/14 7:00:01 PM,C,20.627
6/29/14 9:00:01 PM,C,15.119
6/29/14 11:00:01 PM,C,13.114
6/30/14 1:00:01 AM,C,11.61
6/30/14 3:00:01 AM,C,11.109
6/30/14 5:00:01 AM,C,10.607
6/30/14 7:00:01 AM,C,10.607
6/30/14 9:00:01 AM,C,15.119
6/30/14 11:00:01 AM,C,21.628
6/30/14 1:00:01 PM,C,21.628
6/30/14 3:00:01 PM,C,25.129
6/30/14 5:00:01 PM,C,23.629
6/30/14 7:00:01 PM,C,21.127
6/30/14 9:00:01 PM,C,16.621
6/30/14 11:00:01 PM,C,16.621
7/1/14 1:00:01 AM,C,15.119
7/1/14 3:00:01 AM,C,13.615
7/1/14 5:00:01 AM,C,11.109
7/1/14 7:00:01 AM,C,13.114
7/1/14 9:00:01 AM,C,14.617
7/1/14 11:00:01 AM,C,20.627
7/1/14 1:00:01 PM,C,23.629
7/1/14 3:00:01 PM,C,24.129
7/1/14 5:00:01 PM,C,22.628
7/1/14 7:00:01 PM,C,20.126
7/1/14 9:00:01 PM,C,15.119
7/1/14 11:00:01 PM,C,13.615
7/2/14 1:00:01 AM,C,14.116
7/2/14 3:00:01 AM,C,10.106
7/2/14 5:00:01 AM,C,8.601
7/2/14 7:00:01 AM,C,8.601
7/2/14 9:00:01 AM,C,14.116
7/2/14 11:00:01 AM,C,19.626
7/2/14 1:00:01 PM,C,21.127
7/2/14 3:00:01 PM,C,19.626
7/2/14 5:00:01 PM,C,17.623
7/2/14 7:00:01 PM,C,17.122
7/2/14 9:00:01 PM,C,14.116
7/2/14 11:00:01 PM,C,12.613
7/3/14 1:00:01 AM,C,14.617
7/3/14 3:00:01 AM,C,13.615
7/3/14 5:00:01 AM,C,12.613
7/3/14 7:00:01 AM,C,11.109
7/3/14 9:00:01 AM,C,15.62
7/3/14 11:00:01 AM,C,19.626
7/3/14 1:00:01 PM,C,23.629
7/3/14 3:00:01 PM,C,16.621
7/3/14 5:00:01 PM,C,18.625
7/3/14 7:00:01 PM,C,18.625
7/3/14 9:00:01 PM,C,14.617
7/3/14 11:00:01 PM,C,13.615
7/4/14 1:00:01 AM,C,13.615
7/4/14 3:00:01 AM,C,12.613
7/4/14 5:00:01 AM,C,11.109
7/4/14 7:00:01 AM,C,9.102
7/4/14 9:00:01 AM,C,14.116
7/4/14 11:00:01 AM,C,19.626
7/4/14 1:00:01 PM,C,23.629
7/4/14 3:00:01 PM,C,11.61
7/4/14 5:00:01 PM,C,14.617
7/4/14 7:00:01 PM,C,10.607
7/4/14 9:00:01 PM,C,12.111
7/4/14 11:00:01 PM,C,11.61
7/5/14 1:00:01 AM,C,11.109
7/5/14 3:00:01 AM,C,10.106
7/5/14 5:00:01 AM,C,9.102
7/5/14 7:00:01 AM,C,9.604
7/5/14 9:00:01 AM,C,14.617
7/5/14 11:00:01 AM,C,19.125
7/5/14 1:00:01 PM,C,17.122
7/5/14 3:00:01 PM,C,10.607
7/5/14 5:00:01 PM,C,11.61
7/5/14 7:00:01 PM,C,11.61
7/5/14 9:00:01 PM,C,13.114
7/5/14 11:00:01 PM,C,12.613
7/6/14 1:00:01 AM,C,11.61
7/6/14 3:00:01 AM,C,9.102
7/6/14 5:00:01 AM,C,9.102
7/6/14 7:00:01 AM,C,8.601
7/6/14 9:00:01 AM,C,14.617
7/6/14 11:00:01 AM,C,20.126
7/6/14 1:00:01 PM,C,20.126
7/6/14 3:00:01 PM,C,14.116
7/6/14 5:00:01 PM,C,13.114
7/6/14 7:00:01 PM,C,17.623
7/6/14 9:00:01 PM,C,15.119
7/6/14 11:00:01 PM,C,15.62
