1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D40000001AE79141
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4527
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 19 13:00:01 MST 2014
Total Mission Samples:  4527
Total Device Samples:  10140
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/14 1:00:01 PM,C,22.679
6/19/14 3:00:01 PM,C,24.18
6/19/14 5:00:01 PM,C,23.179
6/19/14 7:00:01 PM,C,20.176
6/19/14 9:00:01 PM,C,12.158
6/19/14 11:00:01 PM,C,10.15
6/20/14 1:00:01 AM,C,9.146
6/20/14 3:00:01 AM,C,8.142
6/20/14 5:00:01 AM,C,8.142
6/20/14 7:00:01 AM,C,8.142
6/20/14 9:00:01 AM,C,20.677
6/20/14 11:00:01 AM,C,22.679
6/20/14 1:00:01 PM,C,26.18
6/20/14 3:00:01 PM,C,27.179
6/20/14 5:00:01 PM,C,26.679
6/20/14 7:00:01 PM,C,22.178
6/20/14 9:00:01 PM,C,15.668
6/20/14 11:00:01 PM,C,14.164
6/21/14 1:00:01 AM,C,13.662
6/21/14 3:00:01 AM,C,12.158
6/21/14 5:00:01 AM,C,11.154
6/21/14 7:00:01 AM,C,10.15
6/21/14 9:00:01 AM,C,21.678
6/21/14 11:00:01 AM,C,22.679
6/21/14 1:00:01 PM,C,24.68
6/21/14 3:00:01 PM,C,23.679
6/21/14 5:00:01 PM,C,24.18
6/21/14 7:00:01 PM,C,22.679
6/21/14 9:00:01 PM,C,15.668
6/21/14 11:00:01 PM,C,12.659
6/22/14 1:00:01 AM,C,13.161
6/22/14 3:00:01 AM,C,11.656
6/22/14 5:00:01 AM,C,11.154
6/22/14 7:00:01 AM,C,11.154
6/22/14 9:00:01 AM,C,20.176
6/22/14 11:00:01 AM,C,23.179
6/22/14 1:00:01 PM,C,25.18
6/22/14 3:00:01 PM,C,26.679
6/22/14 5:00:01 PM,C,26.679
6/22/14 7:00:01 PM,C,23.679
6/22/14 9:00:01 PM,C,16.169
6/22/14 11:00:01 PM,C,13.161
6/23/14 1:00:01 AM,C,12.158
6/23/14 3:00:01 AM,C,12.659
6/23/14 5:00:01 AM,C,11.656
6/23/14 7:00:01 AM,C,11.656
6/23/14 9:00:01 AM,C,21.178
6/23/14 11:00:01 AM,C,24.68
6/23/14 1:00:01 PM,C,27.179
