1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 14000000284D7121
Is Mission Active?  false
Mission Start:  Thu Jun 19 13:04:00 MST 2014
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2259
Total Samples:  3798
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/19/14 1:04:00 PM,C,21
6/19/14 5:04:00 PM,C,20.5
6/19/14 9:04:00 PM,C,6
6/20/14 1:04:00 AM,C,1.5
6/20/14 5:04:00 AM,C,-2
6/20/14 9:04:00 AM,C,15.5
6/20/14 1:04:00 PM,C,24
6/20/14 5:04:00 PM,C,23.5
6/20/14 9:04:00 PM,C,9.5
6/21/14 1:04:00 AM,C,5
6/21/14 5:04:00 AM,C,2
6/21/14 9:04:00 AM,C,16.5
6/21/14 1:04:00 PM,C,21.5
6/21/14 5:04:00 PM,C,22
6/21/14 9:04:00 PM,C,9
6/22/14 1:04:00 AM,C,5
6/22/14 5:04:00 AM,C,4
6/22/14 9:04:00 AM,C,16.5
6/22/14 1:04:00 PM,C,22.5
6/22/14 5:04:00 PM,C,23.5
6/22/14 9:04:00 PM,C,8.5
6/23/14 1:04:00 AM,C,2.5
6/23/14 5:04:00 AM,C,3.5
6/23/14 9:04:00 AM,C,17
6/23/14 1:04:00 PM,C,26
6/23/14 5:04:00 PM,C,24.5
6/23/14 9:04:00 PM,C,10
6/24/14 1:04:00 AM,C,3
6/24/14 5:04:00 AM,C,0
6/24/14 9:04:00 AM,C,16.5
6/24/14 1:04:00 PM,C,27
6/24/14 5:04:00 PM,C,24.5
6/24/14 9:04:00 PM,C,9.5
6/25/14 1:04:00 AM,C,3
6/25/14 5:04:00 AM,C,1
6/25/14 9:04:00 AM,C,17
6/25/14 1:04:00 PM,C,26.5
6/25/14 5:04:00 PM,C,24.5
6/25/14 9:04:00 PM,C,10
6/26/14 1:04:00 AM,C,3.5
6/26/14 5:04:00 AM,C,1
6/26/14 9:04:00 AM,C,16.5
6/26/14 1:04:00 PM,C,23
6/26/14 5:04:00 PM,C,21
6/26/14 9:04:00 PM,C,16.5
6/27/14 1:04:00 AM,C,14.5
6/27/14 5:04:00 AM,C,7
6/27/14 9:04:00 AM,C,14.5
6/27/14 1:04:00 PM,C,22
6/27/14 5:04:00 PM,C,20
6/27/14 9:04:00 PM,C,9.5
6/28/14 1:04:00 AM,C,4.5
6/28/14 5:04:00 AM,C,9
6/28/14 9:04:00 AM,C,14
6/28/14 1:04:00 PM,C,23
6/28/14 5:04:00 PM,C,23
6/28/14 9:04:00 PM,C,10
6/29/14 1:04:00 AM,C,5
6/29/14 5:04:00 AM,C,2.5
6/29/14 9:04:00 AM,C,18.5
6/29/14 1:04:00 PM,C,27
6/29/14 5:04:00 PM,C,26.5
6/29/14 9:04:00 PM,C,12.5
6/30/14 1:04:00 AM,C,6
6/30/14 5:04:00 AM,C,4
6/30/14 9:04:00 AM,C,19.5
6/30/14 1:04:00 PM,C,24.5
6/30/14 5:04:00 PM,C,26
6/30/14 9:04:00 PM,C,13.5
7/1/14 1:04:00 AM,C,10.5
7/1/14 5:04:00 AM,C,5.5
7/1/14 9:04:00 AM,C,18.5
7/1/14 1:04:00 PM,C,27.5
7/1/14 5:04:00 PM,C,26
7/1/14 9:04:00 PM,C,11.5
7/2/14 1:04:00 AM,C,7
7/2/14 5:04:00 AM,C,5
7/2/14 9:04:00 AM,C,18.5
7/2/14 1:04:00 PM,C,27
7/2/14 5:04:00 PM,C,22.5
7/2/14 9:04:00 PM,C,12.5
7/3/14 1:04:00 AM,C,15
7/3/14 5:04:00 AM,C,13.5
7/3/14 9:04:00 AM,C,17
7/3/14 1:04:00 PM,C,25
7/3/14 5:04:00 PM,C,20.5
7/3/14 9:04:00 PM,C,15
7/4/14 1:04:00 AM,C,11.5
7/4/14 5:04:00 AM,C,9
7/4/14 9:04:00 AM,C,17.5
7/4/14 1:04:00 PM,C,23
7/4/14 5:04:00 PM,C,16
7/4/14 9:04:00 PM,C,10
7/5/14 1:04:00 AM,C,10
7/5/14 5:04:00 AM,C,7
7/5/14 9:04:00 AM,C,16
7/5/14 1:04:00 PM,C,22.5
7/5/14 5:04:00 PM,C,14.5
7/5/14 9:04:00 PM,C,14
7/6/14 1:04:00 AM,C,6.5
7/6/14 5:04:00 AM,C,4
7/6/14 9:04:00 AM,C,18
7/6/14 1:04:00 PM,C,23.5
7/6/14 5:04:00 PM,C,13
7/6/14 9:04:00 PM,C,15
