1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7E0000001DB11B41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4530
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 19 13:00:01 MST 2014
Total Mission Samples:  4530
Total Device Samples:  10129
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/14 1:00:01 PM,C,35.12
6/19/14 3:00:01 PM,C,17.623
6/19/14 5:00:01 PM,C,17.122
6/19/14 7:00:01 PM,C,21.129
6/19/14 9:00:01 PM,C,7.09
6/19/14 11:00:01 PM,C,5.081
6/20/14 1:00:01 AM,C,6.086
6/20/14 3:00:01 AM,C,2.568
6/20/14 5:00:01 AM,C,2.065
6/20/14 7:00:01 AM,C,2.568
6/20/14 9:00:01 AM,C,13.112
6/20/14 11:00:01 AM,C,17.623
6/20/14 1:00:01 PM,C,19.627
6/20/14 3:00:01 PM,C,21.129
6/20/14 5:00:01 PM,C,20.127
6/20/14 7:00:01 PM,C,18.625
6/20/14 9:00:01 PM,C,10.604
6/20/14 11:00:01 PM,C,9.099
6/21/14 1:00:01 AM,C,8.095
6/21/14 3:00:01 AM,C,6.086
6/21/14 5:00:01 AM,C,6.588
6/21/14 7:00:01 AM,C,8.095
6/21/14 9:00:01 AM,C,12.611
6/21/14 11:00:01 AM,C,19.126
6/21/14 1:00:01 PM,C,18.625
6/21/14 3:00:01 PM,C,18.625
6/21/14 5:00:01 PM,C,18.625
6/21/14 7:00:01 PM,C,17.122
6/21/14 9:00:01 PM,C,10.102
6/21/14 11:00:01 PM,C,8.095
6/22/14 1:00:01 AM,C,8.095
6/22/14 3:00:01 AM,C,7.09
6/22/14 5:00:01 AM,C,7.09
6/22/14 7:00:01 AM,C,8.095
6/22/14 9:00:01 AM,C,15.118
6/22/14 11:00:01 AM,C,17.122
6/22/14 1:00:01 PM,C,20.127
6/22/14 3:00:01 PM,C,20.628
6/22/14 5:00:01 PM,C,19.627
6/22/14 7:00:01 PM,C,23.63
6/22/14 9:00:01 PM,C,10.102
6/22/14 11:00:01 PM,C,7.592
6/23/14 1:00:01 AM,C,7.09
6/23/14 3:00:01 AM,C,6.588
6/23/14 5:00:01 AM,C,8.597
6/23/14 7:00:01 AM,C,9.099
6/23/14 9:00:01 AM,C,15.619
