1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 310000002AE2EB21
Is Mission Active?  true
Mission Start:  Thu Jun 19 13:01:00 MST 2014
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2592
Total Samples:  2889
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/19/14 1:01:00 PM,C,37.5
6/19/14 5:01:00 PM,C,21.5
6/19/14 9:01:00 PM,C,15
6/20/14 1:01:00 AM,C,14
6/20/14 5:01:00 AM,C,4.5
6/20/14 9:01:00 AM,C,14
6/20/14 1:01:00 PM,C,30.5
6/20/14 5:01:00 PM,C,19
6/20/14 9:01:00 PM,C,9.5
6/21/14 1:01:00 AM,C,8
6/21/14 5:01:00 AM,C,8.5
6/21/14 9:01:00 AM,C,10.5
6/21/14 1:01:00 PM,C,13.5
6/21/14 5:01:00 PM,C,14.5
6/21/14 9:01:00 PM,C,8.5
6/22/14 1:01:00 AM,C,7
6/22/14 5:01:00 AM,C,8
6/22/14 9:01:00 AM,C,9
6/22/14 1:01:00 PM,C,15
6/22/14 5:01:00 PM,C,19
6/22/14 9:01:00 PM,C,8
6/23/14 1:01:00 AM,C,7.5
6/23/14 5:01:00 AM,C,7.5
6/23/14 9:01:00 AM,C,8.5
6/23/14 1:01:00 PM,C,12.5
6/23/14 5:01:00 PM,C,19.5
6/23/14 9:01:00 PM,C,11
6/24/14 1:01:00 AM,C,8
6/24/14 5:01:00 AM,C,6.5
6/24/14 9:01:00 AM,C,8.5
6/24/14 1:01:00 PM,C,13
6/24/14 5:01:00 PM,C,20
6/24/14 9:01:00 PM,C,11
6/25/14 1:01:00 AM,C,10
6/25/14 5:01:00 AM,C,6.5
6/25/14 9:01:00 AM,C,8.5
6/25/14 1:01:00 PM,C,16
6/25/14 5:01:00 PM,C,20
6/25/14 9:01:00 PM,C,11.5
6/26/14 1:01:00 AM,C,10.5
6/26/14 5:01:00 AM,C,7.5
6/26/14 9:01:00 AM,C,8.5
6/26/14 1:01:00 PM,C,15
6/26/14 5:01:00 PM,C,13.5
6/26/14 9:01:00 PM,C,10
6/27/14 1:01:00 AM,C,7
6/27/14 5:01:00 AM,C,4.5
6/27/14 9:01:00 AM,C,5.5
6/27/14 1:01:00 PM,C,11.5
6/27/14 5:01:00 PM,C,9
6/27/14 9:01:00 PM,C,7
6/28/14 1:01:00 AM,C,6.5
6/28/14 5:01:00 AM,C,4
6/28/14 9:01:00 AM,C,4
6/28/14 1:01:00 PM,C,12.5
6/28/14 5:01:00 PM,C,18
6/28/14 9:01:00 PM,C,10
6/29/14 1:01:00 AM,C,10
6/29/14 5:01:00 AM,C,10
6/29/14 9:01:00 AM,C,10
6/29/14 1:01:00 PM,C,18
6/29/14 5:01:00 PM,C,21
6/29/14 9:01:00 PM,C,13.5
6/30/14 1:01:00 AM,C,12.5
6/30/14 5:01:00 AM,C,12
6/30/14 9:01:00 AM,C,11.5
6/30/14 1:01:00 PM,C,16.5
6/30/14 5:01:00 PM,C,24
6/30/14 9:01:00 PM,C,12.5
7/1/14 1:01:00 AM,C,9.5
7/1/14 5:01:00 AM,C,7.5
7/1/14 9:01:00 AM,C,10.5
7/1/14 1:01:00 PM,C,17.5
7/1/14 5:01:00 PM,C,22.5
7/1/14 9:01:00 PM,C,11.5
7/2/14 1:01:00 AM,C,10.5
7/2/14 5:01:00 AM,C,8.5
7/2/14 9:01:00 AM,C,9.5
7/2/14 1:01:00 PM,C,13.5
7/2/14 5:01:00 PM,C,18
7/2/14 9:01:00 PM,C,11.5
7/3/14 1:01:00 AM,C,10
7/3/14 5:01:00 AM,C,7.5
7/3/14 9:01:00 AM,C,10.5
7/3/14 1:01:00 PM,C,16
7/3/14 5:01:00 PM,C,14
7/3/14 9:01:00 PM,C,10
7/4/14 1:01:00 AM,C,8.5
7/4/14 5:01:00 AM,C,8
7/4/14 9:01:00 AM,C,8.5
7/4/14 1:01:00 PM,C,16.5
7/4/14 5:01:00 PM,C,12
7/4/14 9:01:00 PM,C,9.5
7/5/14 1:01:00 AM,C,7
7/5/14 5:01:00 AM,C,6.5
7/5/14 9:01:00 AM,C,9
7/5/14 1:01:00 PM,C,10.5
7/5/14 5:01:00 PM,C,8
7/5/14 9:01:00 PM,C,7.5
7/6/14 1:01:00 AM,C,8.5
7/6/14 5:01:00 AM,C,9
7/6/14 9:01:00 AM,C,11
7/6/14 1:01:00 PM,C,14
7/6/14 5:01:00 PM,C,8
7/6/14 9:01:00 PM,C,10
7/7/14 1:01:00 AM,C,11
7/7/14 5:01:00 AM,C,10
7/7/14 9:01:00 AM,C,10
7/7/14 1:01:00 PM,C,15.5
7/7/14 5:01:00 PM,C,12.5
7/7/14 9:01:00 PM,C,11.5
7/8/14 1:01:00 AM,C,10
7/8/14 5:01:00 AM,C,9
7/8/14 9:01:00 AM,C,10.5
7/8/14 1:01:00 PM,C,14.5
7/8/14 5:01:00 PM,C,7.5
7/8/14 9:01:00 PM,C,9.5
7/9/14 1:01:00 AM,C,7.5
7/9/14 5:01:00 AM,C,6
7/9/14 9:01:00 AM,C,8
7/9/14 1:01:00 PM,C,12
7/9/14 5:01:00 PM,C,8
7/9/14 9:01:00 PM,C,8.5
7/10/14 1:01:00 AM,C,9
7/10/14 5:01:00 AM,C,6
7/10/14 9:01:00 AM,C,9
7/10/14 1:01:00 PM,C,11.5
7/10/14 5:01:00 PM,C,10
7/10/14 9:01:00 PM,C,9
7/11/14 1:01:00 AM,C,7
7/11/14 5:01:00 AM,C,6.5
7/11/14 9:01:00 AM,C,9
7/11/14 1:01:00 PM,C,14
7/11/14 5:01:00 PM,C,18.5
7/11/14 9:01:00 PM,C,12
7/12/14 1:01:00 AM,C,8
7/12/14 5:01:00 AM,C,8
7/12/14 9:01:00 AM,C,11
7/12/14 1:01:00 PM,C,13.5
7/12/14 5:01:00 PM,C,8
7/12/14 9:01:00 PM,C,9
7/13/14 1:01:00 AM,C,10
7/13/14 5:01:00 AM,C,10
7/13/14 9:01:00 AM,C,10
7/13/14 1:01:00 PM,C,14
7/13/14 5:01:00 PM,C,13.5
7/13/14 9:01:00 PM,C,11
7/14/14 1:01:00 AM,C,9.5
7/14/14 5:01:00 AM,C,9
7/14/14 9:01:00 AM,C,10
7/14/14 1:01:00 PM,C,15
7/14/14 5:01:00 PM,C,6
7/14/14 9:01:00 PM,C,10
7/15/14 1:01:00 AM,C,10
7/15/14 5:01:00 AM,C,7
7/15/14 9:01:00 AM,C,8.5
7/15/14 1:01:00 PM,C,13
7/15/14 5:01:00 PM,C,15
7/15/14 9:01:00 PM,C,10.5
7/16/14 1:01:00 AM,C,10.5
7/16/14 5:01:00 AM,C,8
7/16/14 9:01:00 AM,C,9.5
7/16/14 1:01:00 PM,C,12.5
7/16/14 5:01:00 PM,C,15.5
7/16/14 9:01:00 PM,C,11
7/17/14 1:01:00 AM,C,9
7/17/14 5:01:00 AM,C,7
7/17/14 9:01:00 AM,C,7.5
7/17/14 1:01:00 PM,C,13.5
7/17/14 5:01:00 PM,C,14.5
7/17/14 9:01:00 PM,C,10
7/18/14 1:01:00 AM,C,8.5
7/18/14 5:01:00 AM,C,8
7/18/14 9:01:00 AM,C,9
7/18/14 1:01:00 PM,C,16
7/18/14 5:01:00 PM,C,20
7/18/14 9:01:00 PM,C,11
7/19/14 1:01:00 AM,C,10
7/19/14 5:01:00 AM,C,9.5
7/19/14 9:01:00 AM,C,10.5
