1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 85000000219A9E21
Is Mission Active?  false
Mission Start:  Wed Aug 13 01:01:00 MST 2014
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2354
Total Samples:  9337
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/13/14 1:01:00 AM,C,15.5
8/13/14 5:01:00 AM,C,15.5
8/13/14 9:01:00 AM,C,16
8/13/14 1:01:00 PM,C,20
8/13/14 5:01:00 PM,C,18
8/13/14 9:01:00 PM,C,16.5
8/14/14 1:01:00 AM,C,15
8/14/14 5:01:00 AM,C,15
8/14/14 9:01:00 AM,C,14.5
8/14/14 1:01:00 PM,C,18
8/14/14 5:01:00 PM,C,18.5
8/14/14 9:01:00 PM,C,15.5
8/15/14 1:01:00 AM,C,14.5
8/15/14 5:01:00 AM,C,13.5
8/15/14 9:01:00 AM,C,15
8/15/14 1:01:00 PM,C,19
8/15/14 5:01:00 PM,C,19.5
8/15/14 9:01:00 PM,C,16.5
8/16/14 1:01:00 AM,C,14.5
8/16/14 5:01:00 AM,C,13.5
8/16/14 9:01:00 AM,C,15
8/16/14 1:01:00 PM,C,18.5
8/16/14 5:01:00 PM,C,19
8/16/14 9:01:00 PM,C,16
8/17/14 1:01:00 AM,C,14.5
8/17/14 5:01:00 AM,C,13.5
8/17/14 9:01:00 AM,C,15
8/17/14 1:01:00 PM,C,19
8/17/14 5:01:00 PM,C,22.5
8/17/14 9:01:00 PM,C,16.5
8/18/14 1:01:00 AM,C,15
8/18/14 5:01:00 AM,C,13.5
8/18/14 9:01:00 AM,C,15
8/18/14 1:01:00 PM,C,18.5
8/18/14 5:01:00 PM,C,23
8/18/14 9:01:00 PM,C,17
8/19/14 1:01:00 AM,C,16
8/19/14 5:01:00 AM,C,15
8/19/14 9:01:00 AM,C,16.5
8/19/14 1:01:00 PM,C,19.5
8/19/14 5:01:00 PM,C,18
8/19/14 9:01:00 PM,C,16
8/20/14 1:01:00 AM,C,15.5
8/20/14 5:01:00 AM,C,15
8/20/14 9:01:00 AM,C,15.5
