1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: B60000000B832541
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jun 19 13:00:01 MST 2014
Mission Sample Count:  4530
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Jun 19 13:00:01 MST 2014
Total Mission Samples:  4530
Total Device Samples:  9722
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/19/14 1:00:01 PM,C,23.175
6/19/14 3:00:01 PM,C,23.175
6/19/14 5:00:01 PM,C,22.675
6/19/14 7:00:01 PM,C,21.674
6/19/14 9:00:01 PM,C,13.154
6/19/14 11:00:01 PM,C,10.142
6/20/14 1:00:01 AM,C,9.137
6/20/14 3:00:01 AM,C,8.635
6/20/14 5:00:01 AM,C,8.635
6/20/14 7:00:01 AM,C,8.635
6/20/14 9:00:01 AM,C,20.673
6/20/14 11:00:01 AM,C,23.675
6/20/14 1:00:01 PM,C,26.176
6/20/14 3:00:01 PM,C,27.675
6/20/14 5:00:01 PM,C,26.676
6/20/14 7:00:01 PM,C,23.675
6/20/14 9:00:01 PM,C,16.665
6/20/14 11:00:01 PM,C,15.161
6/21/14 1:00:01 AM,C,14.158
6/21/14 3:00:01 AM,C,12.652
6/21/14 5:00:01 AM,C,11.146
6/21/14 7:00:01 AM,C,10.142
6/21/14 9:00:01 AM,C,22.675
6/21/14 11:00:01 AM,C,23.675
6/21/14 1:00:01 PM,C,24.676
6/21/14 3:00:01 PM,C,24.676
6/21/14 5:00:01 PM,C,25.676
6/21/14 7:00:01 PM,C,23.675
6/21/14 9:00:01 PM,C,17.166
6/21/14 11:00:01 PM,C,14.158
6/22/14 1:00:01 AM,C,13.656
6/22/14 3:00:01 AM,C,12.652
6/22/14 5:00:01 AM,C,11.648
6/22/14 7:00:01 AM,C,11.648
6/22/14 9:00:01 AM,C,20.673
6/22/14 11:00:01 AM,C,23.675
6/22/14 1:00:01 PM,C,26.176
6/22/14 3:00:01 PM,C,28.175
6/22/14 5:00:01 PM,C,26.176
6/22/14 7:00:01 PM,C,25.676
6/22/14 9:00:01 PM,C,17.166
6/22/14 11:00:01 PM,C,14.158
6/23/14 1:00:01 AM,C,12.15
6/23/14 3:00:01 AM,C,12.652
6/23/14 5:00:01 AM,C,12.652
6/23/14 7:00:01 AM,C,11.146
6/23/14 9:00:01 AM,C,22.675
6/23/14 11:00:01 AM,C,25.676
6/23/14 1:00:01 PM,C,28.175
6/23/14 3:00:01 PM,C,28.175
6/23/14 5:00:01 PM,C,27.175
6/23/14 7:00:01 PM,C,26.176
6/23/14 9:00:01 PM,C,18.168
6/23/14 11:00:01 PM,C,13.656
6/24/14 1:00:01 AM,C,13.154
6/24/14 3:00:01 AM,C,12.652
6/24/14 5:00:01 AM,C,10.644
6/24/14 7:00:01 AM,C,11.146
6/24/14 9:00:01 AM,C,22.174
6/24/14 11:00:01 AM,C,25.676
6/24/14 1:00:01 PM,C,28.175
6/24/14 3:00:01 PM,C,29.174
6/24/14 5:00:01 PM,C,27.675
6/24/14 7:00:01 PM,C,26.176
6/24/14 9:00:01 PM,C,18.168
6/24/14 11:00:01 PM,C,14.659
6/25/14 1:00:01 AM,C,13.154
6/25/14 3:00:01 AM,C,11.648
6/25/14 5:00:01 AM,C,10.142
6/25/14 7:00:01 AM,C,10.644
6/25/14 9:00:01 AM,C,22.174
6/25/14 11:00:01 AM,C,25.176
6/25/14 1:00:01 PM,C,28.175
6/25/14 3:00:01 PM,C,28.175
6/25/14 5:00:01 PM,C,27.675
6/25/14 7:00:01 PM,C,26.176
6/25/14 9:00:01 PM,C,19.17
6/25/14 11:00:01 PM,C,13.656
6/26/14 1:00:01 AM,C,13.154
6/26/14 3:00:01 AM,C,10.644
6/26/14 5:00:01 AM,C,9.64
6/26/14 7:00:01 AM,C,10.644
6/26/14 9:00:01 AM,C,21.674
6/26/14 11:00:01 AM,C,24.676
6/26/14 1:00:01 PM,C,26.176
6/26/14 3:00:01 PM,C,27.675
6/26/14 5:00:01 PM,C,25.176
6/26/14 7:00:01 PM,C,23.675
6/26/14 9:00:01 PM,C,21.173
6/26/14 11:00:01 PM,C,19.17
6/27/14 1:00:01 AM,C,18.669
6/27/14 3:00:01 AM,C,16.163
6/27/14 5:00:01 AM,C,13.656
