1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AD00000027EEC221
Is Mission Active?  false
Mission Start:  Mon Sep 14 13:01:00 MST 2015
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2156
Total Samples:  9667
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/14/15 1:01:00 PM,C,15.5
9/14/15 5:01:00 PM,C,19.5
9/14/15 9:01:00 PM,C,11
9/15/15 1:01:00 AM,C,9
9/15/15 5:01:00 AM,C,9.5
9/15/15 9:01:00 AM,C,9.5
9/15/15 1:01:00 PM,C,15
9/15/15 5:01:00 PM,C,14.5
9/15/15 9:01:00 PM,C,11.5
9/16/15 1:01:00 AM,C,9
9/16/15 5:01:00 AM,C,8
9/16/15 9:01:00 AM,C,10.5
9/16/15 1:01:00 PM,C,15.5
9/16/15 5:01:00 PM,C,15.5
9/16/15 9:01:00 PM,C,10.5
9/17/15 1:01:00 AM,C,8
9/17/15 5:01:00 AM,C,6
9/17/15 9:01:00 AM,C,8
9/17/15 1:01:00 PM,C,18
9/17/15 5:01:00 PM,C,20
9/17/15 9:01:00 PM,C,8.5
9/18/15 1:01:00 AM,C,4.5
9/18/15 5:01:00 AM,C,3
9/18/15 9:01:00 AM,C,6.5
9/18/15 1:01:00 PM,C,20
9/18/15 5:01:00 PM,C,22
9/18/15 9:01:00 PM,C,7
9/19/15 1:01:00 AM,C,3
9/19/15 5:01:00 AM,C,1.5
9/19/15 9:01:00 AM,C,6.5
9/19/15 1:01:00 PM,C,22
9/19/15 5:01:00 PM,C,24.5
9/19/15 9:01:00 PM,C,7.5
9/20/15 1:01:00 AM,C,4.5
9/20/15 5:01:00 AM,C,2
9/20/15 9:01:00 AM,C,7
9/20/15 1:01:00 PM,C,22
9/20/15 5:01:00 PM,C,25
9/20/15 9:01:00 PM,C,8
9/21/15 1:01:00 AM,C,4.5
9/21/15 5:01:00 AM,C,2.5
9/21/15 9:01:00 AM,C,6.5
9/21/15 1:01:00 PM,C,25
9/21/15 5:01:00 PM,C,21.5
9/21/15 9:01:00 PM,C,10.5
9/22/15 1:01:00 AM,C,9
9/22/15 5:01:00 AM,C,8.5
9/22/15 9:01:00 AM,C,11.5
9/22/15 1:01:00 PM,C,14
9/22/15 5:01:00 PM,C,14.5
9/22/15 9:01:00 PM,C,9.5
9/23/15 1:01:00 AM,C,8.5
9/23/15 5:01:00 AM,C,8.5
9/23/15 9:01:00 AM,C,9.5
9/23/15 1:01:00 PM,C,17
9/23/15 5:01:00 PM,C,22
9/23/15 9:01:00 PM,C,8.5
9/24/15 1:01:00 AM,C,5
9/24/15 5:01:00 AM,C,3
9/24/15 9:01:00 AM,C,7.5
9/24/15 1:01:00 PM,C,26.5
9/24/15 5:01:00 PM,C,27
9/24/15 9:01:00 PM,C,9.5
9/25/15 1:01:00 AM,C,6
9/25/15 5:01:00 AM,C,4
9/25/15 9:01:00 AM,C,7.5
9/25/15 1:01:00 PM,C,27.5
9/25/15 5:01:00 PM,C,23
9/25/15 9:01:00 PM,C,9
9/26/15 1:01:00 AM,C,5.5
9/26/15 5:01:00 AM,C,4
9/26/15 9:01:00 AM,C,8
9/26/15 1:01:00 PM,C,30.5
9/26/15 5:01:00 PM,C,25
9/26/15 9:01:00 PM,C,10.5
9/27/15 1:01:00 AM,C,6
9/27/15 5:01:00 AM,C,5
9/27/15 9:01:00 AM,C,8.5
9/27/15 1:01:00 PM,C,30
9/27/15 5:01:00 PM,C,28
9/27/15 9:01:00 PM,C,8.5
9/28/15 1:01:00 AM,C,5
9/28/15 5:01:00 AM,C,4
9/28/15 9:01:00 AM,C,9.5
9/28/15 1:01:00 PM,C,28.5
9/28/15 5:01:00 PM,C,26.5
9/28/15 9:01:00 PM,C,9.5
9/29/15 1:01:00 AM,C,6.5
9/29/15 5:01:00 AM,C,6
9/29/15 9:01:00 AM,C,10
9/29/15 1:01:00 PM,C,20.5
9/29/15 5:01:00 PM,C,23
9/29/15 9:01:00 PM,C,10
9/30/15 1:01:00 AM,C,7
9/30/15 5:01:00 AM,C,5
9/30/15 9:01:00 AM,C,8.5
9/30/15 1:01:00 PM,C,21.5
9/30/15 5:01:00 PM,C,22.5
9/30/15 9:01:00 PM,C,10.5
10/1/15 1:01:00 AM,C,7
10/1/15 5:01:00 AM,C,6.5
10/1/15 9:01:00 AM,C,10
10/1/15 1:01:00 PM,C,25
10/1/15 5:01:00 PM,C,26.5
10/1/15 9:01:00 PM,C,11
10/2/15 1:01:00 AM,C,9
10/2/15 5:01:00 AM,C,8
10/2/15 9:01:00 AM,C,12
10/2/15 1:01:00 PM,C,20
10/2/15 5:01:00 PM,C,20.5
10/2/15 9:01:00 PM,C,8.5
10/3/15 1:01:00 AM,C,6.5
10/3/15 5:01:00 AM,C,1.5
10/3/15 9:01:00 AM,C,4.5
10/3/15 1:01:00 PM,C,16.5
10/3/15 5:01:00 PM,C,18.5
10/3/15 9:01:00 PM,C,7
10/4/15 1:01:00 AM,C,4
10/4/15 5:01:00 AM,C,3.5
10/4/15 9:01:00 AM,C,7.5
10/4/15 1:01:00 PM,C,14.5
10/4/15 5:01:00 PM,C,17
10/4/15 9:01:00 PM,C,7
10/5/15 1:01:00 AM,C,8
10/5/15 5:01:00 AM,C,8
10/5/15 9:01:00 AM,C,9
10/5/15 1:01:00 PM,C,12
10/5/15 5:01:00 PM,C,8.5
10/5/15 9:01:00 PM,C,6.5
10/6/15 1:01:00 AM,C,5.5
10/6/15 5:01:00 AM,C,4.5
10/6/15 9:01:00 AM,C,3.5
10/6/15 1:01:00 PM,C,12.5
10/6/15 5:01:00 PM,C,11
10/6/15 9:01:00 PM,C,6
10/7/15 1:01:00 AM,C,4.5
10/7/15 5:01:00 AM,C,5
10/7/15 9:01:00 AM,C,7
10/7/15 1:01:00 PM,C,11.5
10/7/15 5:01:00 PM,C,10
10/7/15 9:01:00 PM,C,5
10/8/15 1:01:00 AM,C,2.5
10/8/15 5:01:00 AM,C,2.5
10/8/15 9:01:00 AM,C,3.5
10/8/15 1:01:00 PM,C,15.5
10/8/15 5:01:00 PM,C,13.5
10/8/15 9:01:00 PM,C,6.5
10/9/15 1:01:00 AM,C,5
10/9/15 5:01:00 AM,C,3
10/9/15 9:01:00 AM,C,4
10/9/15 1:01:00 PM,C,15
10/9/15 5:01:00 PM,C,15
10/9/15 9:01:00 PM,C,7.5
10/10/15 1:01:00 AM,C,4.5
10/10/15 5:01:00 AM,C,2.5
10/10/15 9:01:00 AM,C,4.5
10/10/15 1:01:00 PM,C,17
10/10/15 5:01:00 PM,C,17.5
10/10/15 9:01:00 PM,C,7
10/11/15 1:01:00 AM,C,3.5
10/11/15 5:01:00 AM,C,3
10/11/15 9:01:00 AM,C,4.5
10/11/15 1:01:00 PM,C,15.5
10/11/15 5:01:00 PM,C,17
10/11/15 9:01:00 PM,C,7.5
10/12/15 1:01:00 AM,C,5
10/12/15 5:01:00 AM,C,2.5
10/12/15 9:01:00 AM,C,4
10/12/15 1:01:00 PM,C,16.5
10/12/15 5:01:00 PM,C,19.5
10/12/15 9:01:00 PM,C,6
10/13/15 1:01:00 AM,C,2.5
10/13/15 5:01:00 AM,C,1.5
10/13/15 9:01:00 AM,C,3.5
10/13/15 1:01:00 PM,C,17.5
10/13/15 5:01:00 PM,C,20
10/13/15 9:01:00 PM,C,6.5
10/14/15 1:01:00 AM,C,3
10/14/15 5:01:00 AM,C,2
10/14/15 9:01:00 AM,C,4.5
10/14/15 1:01:00 PM,C,18.5
10/14/15 5:01:00 PM,C,20
10/14/15 9:01:00 PM,C,5.5
10/15/15 1:01:00 AM,C,3
10/15/15 5:01:00 AM,C,1.5
10/15/15 9:01:00 AM,C,3
10/15/15 1:01:00 PM,C,18.5
10/15/15 5:01:00 PM,C,19
10/15/15 9:01:00 PM,C,6
10/16/15 1:01:00 AM,C,3.5
10/16/15 5:01:00 AM,C,6.5
10/16/15 9:01:00 AM,C,9
10/16/15 1:01:00 PM,C,15.5
10/16/15 5:01:00 PM,C,14
10/16/15 9:01:00 PM,C,5
10/17/15 1:01:00 AM,C,3.5
10/17/15 5:01:00 AM,C,3
10/17/15 9:01:00 AM,C,7.5
10/17/15 1:01:00 PM,C,14.5
10/17/15 5:01:00 PM,C,15
10/17/15 9:01:00 PM,C,9
10/18/15 1:01:00 AM,C,8.5
10/18/15 5:01:00 AM,C,7.5
10/18/15 9:01:00 AM,C,8.5
10/18/15 1:01:00 PM,C,15
10/18/15 5:01:00 PM,C,12.5
10/18/15 9:01:00 PM,C,8.5
10/19/15 1:01:00 AM,C,7
10/19/15 5:01:00 AM,C,6.5
10/19/15 9:01:00 AM,C,7.5
10/19/15 1:01:00 PM,C,14
10/19/15 5:01:00 PM,C,11
10/19/15 9:01:00 PM,C,5.5
10/20/15 1:01:00 AM,C,6
10/20/15 5:01:00 AM,C,4
10/20/15 9:01:00 AM,C,5.5
10/20/15 1:01:00 PM,C,9
10/20/15 5:01:00 PM,C,7.5
10/20/15 9:01:00 PM,C,3.5
10/21/15 1:01:00 AM,C,1.5
10/21/15 5:01:00 AM,C,1.5
10/21/15 9:01:00 AM,C,3
10/21/15 1:01:00 PM,C,9.5
10/21/15 5:01:00 PM,C,9
10/21/15 9:01:00 PM,C,4.5
10/22/15 1:01:00 AM,C,4
10/22/15 5:01:00 AM,C,4
10/22/15 9:01:00 AM,C,5
10/22/15 1:01:00 PM,C,9
10/22/15 5:01:00 PM,C,7.5
10/22/15 9:01:00 PM,C,5
10/23/15 1:01:00 AM,C,3
10/23/15 5:01:00 AM,C,1.5
10/23/15 9:01:00 AM,C,2.5
10/23/15 1:01:00 PM,C,9
10/23/15 5:01:00 PM,C,7.5
10/23/15 9:01:00 PM,C,2
10/24/15 1:01:00 AM,C,1
10/24/15 5:01:00 AM,C,0
10/24/15 9:01:00 AM,C,0.5
10/24/15 1:01:00 PM,C,9
10/24/15 5:01:00 PM,C,9
10/24/15 9:01:00 PM,C,2.5
10/25/15 1:01:00 AM,C,1
10/25/15 5:01:00 AM,C,0
10/25/15 9:01:00 AM,C,0.5
10/25/15 1:01:00 PM,C,10
10/25/15 5:01:00 PM,C,9.5
10/25/15 9:01:00 PM,C,5
10/26/15 1:01:00 AM,C,4.5
10/26/15 5:01:00 AM,C,3
10/26/15 9:01:00 AM,C,4
10/26/15 1:01:00 PM,C,7.5
10/26/15 5:01:00 PM,C,8
10/26/15 9:01:00 PM,C,1.5
10/27/15 1:01:00 AM,C,0.5
10/27/15 5:01:00 AM,C,0
10/27/15 9:01:00 AM,C,0
10/27/15 1:01:00 PM,C,5
10/27/15 5:01:00 PM,C,7
