1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5E0000002AF1CE21
Is Mission Active?  false
Mission Start:  Mon Sep 14 12:59:00 MST 2015
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2156
Total Samples:  4947
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/14/15 12:59:00 PM,C,9.5
9/14/15 4:59:00 PM,C,10.5
9/14/15 8:59:00 PM,C,9.5
9/15/15 12:59:00 AM,C,8.5
9/15/15 4:59:00 AM,C,8.5
9/15/15 8:59:00 AM,C,8
9/15/15 12:59:00 PM,C,9.5
9/15/15 4:59:00 PM,C,9
9/15/15 8:59:00 PM,C,9
9/16/15 12:59:00 AM,C,8
9/16/15 4:59:00 AM,C,7.5
9/16/15 8:59:00 AM,C,7.5
9/16/15 12:59:00 PM,C,10
9/16/15 4:59:00 PM,C,10
9/16/15 8:59:00 PM,C,9
9/17/15 12:59:00 AM,C,8
9/17/15 4:59:00 AM,C,7.5
9/17/15 8:59:00 AM,C,7.5
9/17/15 12:59:00 PM,C,10.5
9/17/15 4:59:00 PM,C,10
9/17/15 8:59:00 PM,C,8.5
9/18/15 12:59:00 AM,C,6.5
9/18/15 4:59:00 AM,C,6
9/18/15 8:59:00 AM,C,6
9/18/15 12:59:00 PM,C,9.5
9/18/15 4:59:00 PM,C,10
9/18/15 8:59:00 PM,C,7.5
9/19/15 12:59:00 AM,C,6
9/19/15 4:59:00 AM,C,5
9/19/15 8:59:00 AM,C,5
9/19/15 12:59:00 PM,C,10
9/19/15 4:59:00 PM,C,10
9/19/15 8:59:00 PM,C,8
9/20/15 12:59:00 AM,C,6
9/20/15 4:59:00 AM,C,5
9/20/15 8:59:00 AM,C,5
9/20/15 12:59:00 PM,C,9.5
9/20/15 4:59:00 PM,C,10
9/20/15 8:59:00 PM,C,7.5
9/21/15 12:59:00 AM,C,6.5
9/21/15 4:59:00 AM,C,5.5
9/21/15 8:59:00 AM,C,5.5
9/21/15 12:59:00 PM,C,10
9/21/15 4:59:00 PM,C,11
9/21/15 8:59:00 PM,C,9
9/22/15 12:59:00 AM,C,7.5
9/22/15 4:59:00 AM,C,7.5
9/22/15 8:59:00 AM,C,7.5
9/22/15 12:59:00 PM,C,9
9/22/15 4:59:00 PM,C,9.5
9/22/15 8:59:00 PM,C,8
9/23/15 12:59:00 AM,C,7.5
9/23/15 4:59:00 AM,C,7.5
9/23/15 8:59:00 AM,C,7.5
9/23/15 12:59:00 PM,C,10.5
9/23/15 4:59:00 PM,C,10.5
9/23/15 8:59:00 PM,C,8
9/24/15 12:59:00 AM,C,6.5
9/24/15 4:59:00 AM,C,6
9/24/15 8:59:00 AM,C,6
9/24/15 12:59:00 PM,C,10.5
9/24/15 4:59:00 PM,C,11
9/24/15 8:59:00 PM,C,9
9/25/15 12:59:00 AM,C,7.5
9/25/15 4:59:00 AM,C,6.5
9/25/15 8:59:00 AM,C,6.5
9/25/15 12:59:00 PM,C,11
9/25/15 4:59:00 PM,C,11
9/25/15 8:59:00 PM,C,9
9/26/15 12:59:00 AM,C,7
9/26/15 4:59:00 AM,C,6.5
9/26/15 8:59:00 AM,C,6.5
9/26/15 12:59:00 PM,C,11
9/26/15 4:59:00 PM,C,11.5
9/26/15 8:59:00 PM,C,9
9/27/15 12:59:00 AM,C,7.5
9/27/15 4:59:00 AM,C,7
9/27/15 8:59:00 AM,C,7
9/27/15 12:59:00 PM,C,11
9/27/15 4:59:00 PM,C,11
9/27/15 8:59:00 PM,C,9
9/28/15 12:59:00 AM,C,7.5
9/28/15 4:59:00 AM,C,6.5
9/28/15 8:59:00 AM,C,7.5
9/28/15 12:59:00 PM,C,11
9/28/15 4:59:00 PM,C,11.5
9/28/15 8:59:00 PM,C,9.5
9/29/15 12:59:00 AM,C,8
9/29/15 4:59:00 AM,C,7
9/29/15 8:59:00 AM,C,7.5
9/29/15 12:59:00 PM,C,11.5
9/29/15 4:59:00 PM,C,12
9/29/15 8:59:00 PM,C,9.5
9/30/15 12:59:00 AM,C,8.5
9/30/15 4:59:00 AM,C,7.5
9/30/15 8:59:00 AM,C,7.5
9/30/15 12:59:00 PM,C,12
9/30/15 4:59:00 PM,C,12
9/30/15 8:59:00 PM,C,10
10/1/15 12:59:00 AM,C,8.5
10/1/15 4:59:00 AM,C,8
10/1/15 8:59:00 AM,C,8.5
10/1/15 12:59:00 PM,C,12.5
10/1/15 4:59:00 PM,C,12
10/1/15 8:59:00 PM,C,10
10/2/15 12:59:00 AM,C,9.5
10/2/15 4:59:00 AM,C,8.5
10/2/15 8:59:00 AM,C,8.5
10/2/15 12:59:00 PM,C,11.5
10/2/15 4:59:00 PM,C,11
10/2/15 8:59:00 PM,C,9
10/3/15 12:59:00 AM,C,7.5
10/3/15 4:59:00 AM,C,5.5
10/3/15 8:59:00 AM,C,5.5
10/3/15 12:59:00 PM,C,9.5
10/3/15 4:59:00 PM,C,9.5
10/3/15 8:59:00 PM,C,7
10/4/15 12:59:00 AM,C,6
10/4/15 4:59:00 AM,C,5.5
10/4/15 8:59:00 AM,C,6
10/4/15 12:59:00 PM,C,9
10/4/15 4:59:00 PM,C,9.5
10/4/15 8:59:00 PM,C,7.5
10/5/15 12:59:00 AM,C,7
10/5/15 4:59:00 AM,C,6.5
10/5/15 8:59:00 AM,C,6.5
10/5/15 12:59:00 PM,C,8.5
10/5/15 4:59:00 PM,C,8
10/5/15 8:59:00 PM,C,5.5
10/6/15 12:59:00 AM,C,3.5
10/6/15 4:59:00 AM,C,4.5
10/6/15 8:59:00 AM,C,4
10/6/15 12:59:00 PM,C,7
10/6/15 4:59:00 PM,C,7
10/6/15 8:59:00 PM,C,5.5
10/7/15 12:59:00 AM,C,5
10/7/15 4:59:00 AM,C,4.5
10/7/15 8:59:00 AM,C,5
10/7/15 12:59:00 PM,C,7
10/7/15 4:59:00 PM,C,6
10/7/15 8:59:00 PM,C,5
10/8/15 12:59:00 AM,C,4.5
10/8/15 4:59:00 AM,C,3.5
10/8/15 8:59:00 AM,C,4
10/8/15 12:59:00 PM,C,7.5
10/8/15 4:59:00 PM,C,8
10/8/15 8:59:00 PM,C,6.5
10/9/15 12:59:00 AM,C,5.5
10/9/15 4:59:00 AM,C,5
