1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7500000021AE3F21
Is Mission Active?  false
Mission Start:  Fri Sep 15 11:02:00 MST 2017
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  5023
Total Samples:  16309
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/15/17 11:02:00 AM,C,10
9/15/17 3:02:00 PM,C,13.5
9/15/17 7:02:00 PM,C,13
9/15/17 11:02:00 PM,C,9.5
9/16/17 3:02:00 AM,C,9.5
9/16/17 7:02:00 AM,C,8
9/16/17 11:02:00 AM,C,9
9/16/17 3:02:00 PM,C,13.5
9/16/17 7:02:00 PM,C,13.5
9/16/17 11:02:00 PM,C,9
9/17/17 3:02:00 AM,C,8
9/17/17 7:02:00 AM,C,7.5
9/17/17 11:02:00 AM,C,9.5
9/17/17 3:02:00 PM,C,14
9/17/17 7:02:00 PM,C,11.5
9/17/17 11:02:00 PM,C,9.5
9/18/17 3:02:00 AM,C,8
9/18/17 7:02:00 AM,C,7.5
9/18/17 11:02:00 AM,C,9
9/18/17 3:02:00 PM,C,14
9/18/17 7:02:00 PM,C,13
9/18/17 11:02:00 PM,C,9.5
9/19/17 3:02:00 AM,C,8
9/19/17 7:02:00 AM,C,6.5
9/19/17 11:02:00 AM,C,8
9/19/17 3:02:00 PM,C,13
9/19/17 7:02:00 PM,C,13
9/19/17 11:02:00 PM,C,9.5
9/20/17 3:02:00 AM,C,8
9/20/17 7:02:00 AM,C,6.5
9/20/17 11:02:00 AM,C,8.5
9/20/17 3:02:00 PM,C,14
9/20/17 7:02:00 PM,C,14
9/20/17 11:02:00 PM,C,10
9/21/17 3:02:00 AM,C,9
9/21/17 7:02:00 AM,C,7.5
9/21/17 11:02:00 AM,C,9
9/21/17 3:02:00 PM,C,14.5
9/21/17 7:02:00 PM,C,14
9/21/17 11:02:00 PM,C,10.5
9/22/17 3:02:00 AM,C,10
9/22/17 7:02:00 AM,C,10.5
9/22/17 11:02:00 AM,C,11
9/22/17 3:02:00 PM,C,12.5
9/22/17 7:02:00 PM,C,12.5
9/22/17 11:02:00 PM,C,9.5
9/23/17 3:02:00 AM,C,9.5
9/23/17 7:02:00 AM,C,8.5
9/23/17 11:02:00 AM,C,5.5
9/23/17 3:02:00 PM,C,6.5
9/23/17 7:02:00 PM,C,9.5
9/23/17 11:02:00 PM,C,6
9/24/17 3:02:00 AM,C,5
9/24/17 7:02:00 AM,C,4.5
9/24/17 11:02:00 AM,C,4.5
9/24/17 3:02:00 PM,C,8.5
9/24/17 7:02:00 PM,C,9.5
9/24/17 11:02:00 PM,C,5
9/25/17 3:02:00 AM,C,3.5
9/25/17 7:02:00 AM,C,2.5
9/25/17 11:02:00 AM,C,3.5
9/25/17 3:02:00 PM,C,8.5
9/25/17 7:02:00 PM,C,10.5
9/25/17 11:02:00 PM,C,5.5
9/26/17 3:02:00 AM,C,3.5
9/26/17 7:02:00 AM,C,3
9/26/17 11:02:00 AM,C,4.5
9/26/17 3:02:00 PM,C,10
9/26/17 7:02:00 PM,C,10.5
9/26/17 11:02:00 PM,C,6.5
9/27/17 3:02:00 AM,C,5.5
9/27/17 7:02:00 AM,C,5
9/27/17 11:02:00 AM,C,8
9/27/17 3:02:00 PM,C,4.5
9/27/17 7:02:00 PM,C,5
9/27/17 11:02:00 PM,C,5
9/28/17 3:02:00 AM,C,4
9/28/17 7:02:00 AM,C,4
9/28/17 11:02:00 AM,C,5.5
9/28/17 3:02:00 PM,C,10
9/28/17 7:02:00 PM,C,9
9/28/17 11:02:00 PM,C,6
9/29/17 3:02:00 AM,C,5
9/29/17 7:02:00 AM,C,4.5
9/29/17 11:02:00 AM,C,6.5
9/29/17 3:02:00 PM,C,9
9/29/17 7:02:00 PM,C,9.5
9/29/17 11:02:00 PM,C,6.5
9/30/17 3:02:00 AM,C,6.5
9/30/17 7:02:00 AM,C,5.5
9/30/17 11:02:00 AM,C,7.5
9/30/17 3:02:00 PM,C,10
9/30/17 7:02:00 PM,C,11
9/30/17 11:02:00 PM,C,7.5
10/1/17 3:02:00 AM,C,6.5
10/1/17 7:02:00 AM,C,5.5
10/1/17 11:02:00 AM,C,7
10/1/17 3:02:00 PM,C,10
10/1/17 7:02:00 PM,C,9.5
10/1/17 11:02:00 PM,C,8
10/2/17 3:02:00 AM,C,7
10/2/17 7:02:00 AM,C,6
10/2/17 11:02:00 AM,C,7.5
10/2/17 3:02:00 PM,C,8
10/2/17 7:02:00 PM,C,8.5
10/2/17 11:02:00 PM,C,6.5
10/3/17 3:02:00 AM,C,6
10/3/17 7:02:00 AM,C,5.5
10/3/17 11:02:00 AM,C,6
10/3/17 3:02:00 PM,C,11
10/3/17 7:02:00 PM,C,10.5
10/3/17 11:02:00 PM,C,8
10/4/17 3:02:00 AM,C,8
10/4/17 7:02:00 AM,C,7
10/4/17 11:02:00 AM,C,9.5
10/4/17 3:02:00 PM,C,13.5
10/4/17 7:02:00 PM,C,12
10/4/17 11:02:00 PM,C,8.5
10/5/17 3:02:00 AM,C,7.5
10/5/17 7:02:00 AM,C,8
10/5/17 11:02:00 AM,C,10
10/5/17 3:02:00 PM,C,14.5
10/5/17 7:02:00 PM,C,12.5
10/5/17 11:02:00 PM,C,9
10/6/17 3:02:00 AM,C,8
10/6/17 7:02:00 AM,C,6.5
10/6/17 11:02:00 AM,C,7
10/6/17 3:02:00 PM,C,10.5
10/6/17 7:02:00 PM,C,9.5
10/6/17 11:02:00 PM,C,5.5
10/7/17 3:02:00 AM,C,4.5
10/7/17 7:02:00 AM,C,4
10/7/17 11:02:00 AM,C,6
10/7/17 3:02:00 PM,C,12
10/7/17 7:02:00 PM,C,10.5
10/7/17 11:02:00 PM,C,6.5
10/8/17 3:02:00 AM,C,5.5
10/8/17 7:02:00 AM,C,4.5
10/8/17 11:02:00 AM,C,6.5
10/8/17 3:02:00 PM,C,11.5
10/8/17 7:02:00 PM,C,10
10/8/17 11:02:00 PM,C,7
10/9/17 3:02:00 AM,C,5.5
10/9/17 7:02:00 AM,C,5
10/9/17 11:02:00 AM,C,5.5
10/9/17 3:02:00 PM,C,9
10/9/17 7:02:00 PM,C,7
10/9/17 11:02:00 PM,C,4
10/10/17 3:02:00 AM,C,3
10/10/17 7:02:00 AM,C,2
10/10/17 11:02:00 AM,C,4
10/10/17 3:02:00 PM,C,9.5
10/10/17 7:02:00 PM,C,8.5
10/10/17 11:02:00 PM,C,4.5
10/11/17 3:02:00 AM,C,4
10/11/17 7:02:00 AM,C,4
10/11/17 11:02:00 AM,C,6
10/11/17 3:02:00 PM,C,11
10/11/17 7:02:00 PM,C,9.5
10/11/17 11:02:00 PM,C,7.5
10/12/17 3:02:00 AM,C,6.5
10/12/17 7:02:00 AM,C,7
10/12/17 11:02:00 AM,C,8
10/12/17 3:02:00 PM,C,12.5
10/12/17 7:02:00 PM,C,10.5
10/12/17 11:02:00 PM,C,7
10/13/17 3:02:00 AM,C,6
10/13/17 7:02:00 AM,C,5
10/13/17 11:02:00 AM,C,6.5
10/13/17 3:02:00 PM,C,12
10/13/17 7:02:00 PM,C,10.5
10/13/17 11:02:00 PM,C,7
10/14/17 3:02:00 AM,C,6
10/14/17 7:02:00 AM,C,4.5
10/14/17 11:02:00 AM,C,6
10/14/17 3:02:00 PM,C,10.5
10/14/17 7:02:00 PM,C,8.5
10/14/17 11:02:00 PM,C,4.5
10/15/17 3:02:00 AM,C,3
10/15/17 7:02:00 AM,C,2.5
10/15/17 11:02:00 AM,C,4.5
10/15/17 3:02:00 PM,C,11
10/15/17 7:02:00 PM,C,10
10/15/17 11:02:00 PM,C,5
10/16/17 3:02:00 AM,C,3.5
10/16/17 7:02:00 AM,C,3
10/16/17 11:02:00 AM,C,5.5
10/16/17 3:02:00 PM,C,11.5
10/16/17 7:02:00 PM,C,10.5
10/16/17 11:02:00 PM,C,5.5
10/17/17 3:02:00 AM,C,4
10/17/17 7:02:00 AM,C,3
10/17/17 11:02:00 AM,C,5.5
10/17/17 3:02:00 PM,C,11.5
10/17/17 7:02:00 PM,C,10.5
10/17/17 11:02:00 PM,C,6
10/18/17 3:02:00 AM,C,5
10/18/17 7:02:00 AM,C,4.5
10/18/17 11:02:00 AM,C,7
10/18/17 3:02:00 PM,C,12
10/18/17 7:02:00 PM,C,11
10/18/17 11:02:00 PM,C,7.5
10/19/17 3:02:00 AM,C,6
10/19/17 7:02:00 AM,C,6
10/19/17 11:02:00 AM,C,8
10/19/17 3:02:00 PM,C,11.5
10/19/17 7:02:00 PM,C,10
10/19/17 11:02:00 PM,C,7
10/20/17 3:02:00 AM,C,7.5
10/20/17 7:02:00 AM,C,6.5
10/20/17 11:02:00 AM,C,8
10/20/17 3:02:00 PM,C,11
10/20/17 7:02:00 PM,C,9.5
10/20/17 11:02:00 PM,C,8.5
10/21/17 3:02:00 AM,C,6.5
10/21/17 7:02:00 AM,C,4
10/21/17 11:02:00 AM,C,4
10/21/17 3:02:00 PM,C,8.5
10/21/17 7:02:00 PM,C,7
10/21/17 11:02:00 PM,C,3.5
10/22/17 3:02:00 AM,C,2.5
10/22/17 7:02:00 AM,C,3
10/22/17 11:02:00 AM,C,5
10/22/17 3:02:00 PM,C,10.5
10/22/17 7:02:00 PM,C,9
10/22/17 11:02:00 PM,C,5.5
10/23/17 3:02:00 AM,C,5
10/23/17 7:02:00 AM,C,5
10/23/17 11:02:00 AM,C,7
10/23/17 3:02:00 PM,C,12
10/23/17 7:02:00 PM,C,10.5
10/23/17 11:02:00 PM,C,7
10/24/17 3:02:00 AM,C,5.5
10/24/17 7:02:00 AM,C,4
10/24/17 11:02:00 AM,C,5.5
10/24/17 3:02:00 PM,C,12
10/24/17 7:02:00 PM,C,10.5
10/24/17 11:02:00 PM,C,6
10/25/17 3:02:00 AM,C,4.5
10/25/17 7:02:00 AM,C,4
10/25/17 11:02:00 AM,C,6
10/25/17 3:02:00 PM,C,12
10/25/17 7:02:00 PM,C,10
10/25/17 11:02:00 PM,C,5.5
10/26/17 3:02:00 AM,C,4
10/26/17 7:02:00 AM,C,3.5
10/26/17 11:02:00 AM,C,5.5
10/26/17 3:02:00 PM,C,11
10/26/17 7:02:00 PM,C,9
10/26/17 11:02:00 PM,C,6
10/27/17 3:02:00 AM,C,5
10/27/17 7:02:00 AM,C,3
10/27/17 11:02:00 AM,C,4
10/27/17 3:02:00 PM,C,10.5
10/27/17 7:02:00 PM,C,8
10/27/17 11:02:00 PM,C,4.5
10/28/17 3:02:00 AM,C,3.5
10/28/17 7:02:00 AM,C,2.5
10/28/17 11:02:00 AM,C,4.5
10/28/17 3:02:00 PM,C,11
10/28/17 7:02:00 PM,C,9
10/28/17 11:02:00 PM,C,5
10/29/17 3:02:00 AM,C,3.5
10/29/17 7:02:00 AM,C,2.5
10/29/17 11:02:00 AM,C,4.5
10/29/17 3:02:00 PM,C,11
10/29/17 7:02:00 PM,C,9
10/29/17 11:02:00 PM,C,5
10/30/17 3:02:00 AM,C,3.5
10/30/17 7:02:00 AM,C,3
10/30/17 11:02:00 AM,C,5.5
10/30/17 3:02:00 PM,C,10
10/30/17 7:02:00 PM,C,8.5
10/30/17 11:02:00 PM,C,6.5
10/31/17 3:02:00 AM,C,6.5
10/31/17 7:02:00 AM,C,5
10/31/17 11:02:00 AM,C,6
10/31/17 3:02:00 PM,C,8
10/31/17 7:02:00 PM,C,6.5
10/31/17 11:02:00 PM,C,4
11/1/17 3:02:00 AM,C,3.5
11/1/17 7:02:00 AM,C,3
11/1/17 11:02:00 AM,C,4
11/1/17 3:02:00 PM,C,8.5
11/1/17 7:02:00 PM,C,7.5
11/1/17 11:02:00 PM,C,4
11/2/17 3:02:00 AM,C,3
11/2/17 7:02:00 AM,C,2.5
11/2/17 11:02:00 AM,C,4
11/2/17 3:02:00 PM,C,9
11/2/17 7:02:00 PM,C,7.5
11/2/17 11:02:00 PM,C,4.5
11/3/17 3:02:00 AM,C,4.5
11/3/17 7:02:00 AM,C,3.5
