1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: E10000001A7DDC41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Fri Sep 15 11:00:01 MST 2017
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Fri Sep 15 11:00:01 MST 2017
Total Mission Samples:  8192
Total Device Samples:  26288
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/15/17 11:00:01 AM,C,5.12
9/15/17 1:00:01 PM,C,7.634
9/15/17 3:00:01 PM,C,8.639
9/15/17 5:00:01 PM,C,8.137
9/15/17 7:00:01 PM,C,7.132
9/15/17 9:00:01 PM,C,5.12
9/15/17 11:00:01 PM,C,4.114
9/16/17 1:00:01 AM,C,3.107
9/16/17 3:00:01 AM,C,3.611
9/16/17 5:00:01 AM,C,3.107
9/16/17 7:00:01 AM,C,1.597
9/16/17 9:00:01 AM,C,2.101
9/16/17 11:00:01 AM,C,4.617
9/16/17 1:00:01 PM,C,8.639
9/16/17 3:00:01 PM,C,9.644
9/16/17 5:00:01 PM,C,11.151
9/16/17 7:00:01 PM,C,7.132
9/16/17 9:00:01 PM,C,4.114
9/16/17 11:00:01 PM,C,6.126
9/17/17 1:00:01 AM,C,5.623
9/17/17 3:00:01 AM,C,6.126
9/17/17 5:00:01 AM,C,5.623
9/17/17 7:00:01 AM,C,5.623
9/17/17 9:00:01 AM,C,5.623
9/17/17 11:00:01 AM,C,7.132
9/17/17 1:00:01 PM,C,6.629
9/17/17 3:00:01 PM,C,7.132
9/17/17 5:00:01 PM,C,2.604
9/17/17 7:00:01 PM,C,5.12
9/17/17 9:00:01 PM,C,5.12
9/17/17 11:00:01 PM,C,5.12
9/18/17 1:00:01 AM,C,4.114
9/18/17 3:00:01 AM,C,4.114
9/18/17 5:00:01 AM,C,3.611
9/18/17 7:00:01 AM,C,2.604
9/18/17 9:00:01 AM,C,5.12
9/18/17 11:00:01 AM,C,8.137
9/18/17 1:00:01 PM,C,10.147
9/18/17 3:00:01 PM,C,12.155
9/18/17 5:00:01 PM,C,13.159
9/18/17 7:00:01 PM,C,9.142
9/18/17 9:00:01 PM,C,7.634
9/18/17 11:00:01 PM,C,7.634
9/19/17 1:00:01 AM,C,6.126
9/19/17 3:00:01 AM,C,5.12
9/19/17 5:00:01 AM,C,4.114
9/19/17 7:00:01 AM,C,4.114
9/19/17 9:00:01 AM,C,5.12
9/19/17 11:00:01 AM,C,5.623
9/19/17 1:00:01 PM,C,8.639
9/19/17 3:00:01 PM,C,10.649
9/19/17 5:00:01 PM,C,11.653
9/19/17 7:00:01 PM,C,8.639
9/19/17 9:00:01 PM,C,6.629
9/19/17 11:00:01 PM,C,6.629
9/20/17 1:00:01 AM,C,4.617
9/20/17 3:00:01 AM,C,3.107
9/20/17 5:00:01 AM,C,2.604
9/20/17 7:00:01 AM,C,3.107
9/20/17 9:00:01 AM,C,4.114
9/20/17 11:00:01 AM,C,8.137
9/20/17 1:00:01 PM,C,10.147
9/20/17 3:00:01 PM,C,11.653
9/20/17 5:00:01 PM,C,12.657
9/20/17 7:00:01 PM,C,9.644
9/20/17 9:00:01 PM,C,8.639
9/20/17 11:00:01 PM,C,7.634
9/21/17 1:00:01 AM,C,6.126
9/21/17 3:00:01 AM,C,5.12
9/21/17 5:00:01 AM,C,4.114
9/21/17 7:00:01 AM,C,4.617
9/21/17 9:00:01 AM,C,5.623
9/21/17 11:00:01 AM,C,8.137
9/21/17 1:00:01 PM,C,9.644
9/21/17 3:00:01 PM,C,11.653
9/21/17 5:00:01 PM,C,12.657
9/21/17 7:00:01 PM,C,9.644
9/21/17 9:00:01 PM,C,8.137
9/21/17 11:00:01 PM,C,6.629
9/22/17 1:00:01 AM,C,5.12
9/22/17 3:00:01 AM,C,4.617
9/22/17 5:00:01 AM,C,4.114
9/22/17 7:00:01 AM,C,4.114
9/22/17 9:00:01 AM,C,2.604
9/22/17 11:00:01 AM,C,2.101
9/22/17 1:00:01 PM,C,4.114
9/22/17 3:00:01 PM,C,5.12
9/22/17 5:00:01 PM,C,6.629
9/22/17 7:00:01 PM,C,6.629
9/22/17 9:00:01 PM,C,5.623
9/22/17 11:00:01 PM,C,5.12
9/23/17 1:00:01 AM,C,4.617
9/23/17 3:00:01 AM,C,4.617
9/23/17 5:00:01 AM,C,3.611
9/23/17 7:00:01 AM,C,1.094
9/23/17 9:00:01 AM,C,1.597
9/23/17 11:00:01 AM,C,-0.418
9/23/17 1:00:01 PM,C,-0.921
9/23/17 3:00:01 PM,C,0.59
9/23/17 5:00:01 PM,C,3.107
9/23/17 7:00:01 PM,C,1.597
9/23/17 9:00:01 PM,C,1.094
9/23/17 11:00:01 PM,C,0.59
9/24/17 1:00:01 AM,C,-0.921
9/24/17 3:00:01 AM,C,-1.425
9/24/17 5:00:01 AM,C,-2.434
9/24/17 7:00:01 AM,C,-2.938
9/24/17 9:00:01 AM,C,-2.434
9/24/17 11:00:01 AM,C,-0.418
9/24/17 1:00:01 PM,C,2.101
9/24/17 3:00:01 PM,C,3.107
9/24/17 5:00:01 PM,C,3.611
9/24/17 7:00:01 PM,C,0.086
9/24/17 9:00:01 PM,C,-2.938
9/24/17 11:00:01 PM,C,-3.442
9/25/17 1:00:01 AM,C,-2.938
9/25/17 3:00:01 AM,C,-2.938
9/25/17 5:00:01 AM,C,-3.442
9/25/17 7:00:01 AM,C,-1.929
9/25/17 9:00:01 AM,C,-0.921
9/25/17 11:00:01 AM,C,3.611
9/25/17 1:00:01 PM,C,4.114
9/25/17 3:00:01 PM,C,4.617
9/25/17 5:00:01 PM,C,7.132
9/25/17 7:00:01 PM,C,2.101
9/25/17 9:00:01 PM,C,-0.921
9/25/17 11:00:01 PM,C,1.094
9/26/17 1:00:01 AM,C,1.597
9/26/17 3:00:01 AM,C,0.59
9/26/17 5:00:01 AM,C,2.101
9/26/17 7:00:01 AM,C,2.101
9/26/17 9:00:01 AM,C,2.604
9/26/17 11:00:01 AM,C,7.132
9/26/17 1:00:01 PM,C,6.126
9/26/17 3:00:01 PM,C,7.132
9/26/17 5:00:01 PM,C,7.634
9/26/17 7:00:01 PM,C,5.12
9/26/17 9:00:01 PM,C,2.101
9/26/17 11:00:01 PM,C,3.107
9/27/17 1:00:01 AM,C,2.101
9/27/17 3:00:01 AM,C,1.597
9/27/17 5:00:01 AM,C,1.094
9/27/17 7:00:01 AM,C,1.597
9/27/17 9:00:01 AM,C,2.101
9/27/17 11:00:01 AM,C,3.107
9/27/17 1:00:01 PM,C,-0.418
9/27/17 3:00:01 PM,C,0.59
9/27/17 5:00:01 PM,C,-0.418
9/27/17 7:00:01 PM,C,0.086
9/27/17 9:00:01 PM,C,-0.418
9/27/17 11:00:01 PM,C,0.086
9/28/17 1:00:01 AM,C,-0.418
9/28/17 3:00:01 AM,C,-0.418
9/28/17 5:00:01 AM,C,-0.418
9/28/17 7:00:01 AM,C,0.086
9/28/17 9:00:01 AM,C,1.094
9/28/17 11:00:01 AM,C,1.597
9/28/17 1:00:01 PM,C,3.107
9/28/17 3:00:01 PM,C,4.114
9/28/17 5:00:01 PM,C,3.611
9/28/17 7:00:01 PM,C,2.604
9/28/17 9:00:01 PM,C,2.101
9/28/17 11:00:01 PM,C,2.101
9/29/17 1:00:01 AM,C,3.107
9/29/17 3:00:01 AM,C,3.107
9/29/17 5:00:01 AM,C,2.604
9/29/17 7:00:01 AM,C,2.604
9/29/17 9:00:01 AM,C,3.107
9/29/17 11:00:01 AM,C,5.12
