1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0A00000027F0E821
Is Mission Active?  false
Mission Start:  Fri Sep 15 13:01:00 MST 2017
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  5023
Total Samples:  14714
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/15/17 1:01:00 PM,C,12
9/15/17 5:01:00 PM,C,15
9/15/17 9:01:00 PM,C,10
9/16/17 1:01:00 AM,C,8.5
9/16/17 5:01:00 AM,C,8
9/16/17 9:01:00 AM,C,7
9/16/17 1:01:00 PM,C,11
9/16/17 5:01:00 PM,C,15
9/16/17 9:01:00 PM,C,9
9/17/17 1:01:00 AM,C,7
9/17/17 5:01:00 AM,C,6.5
9/17/17 9:01:00 AM,C,7.5
9/17/17 1:01:00 PM,C,11.5
9/17/17 5:01:00 PM,C,11
9/17/17 9:01:00 PM,C,9.5
9/18/17 1:01:00 AM,C,7.5
9/18/17 5:01:00 AM,C,6.5
9/18/17 9:01:00 AM,C,6.5
9/18/17 1:01:00 PM,C,11.5
9/18/17 5:01:00 PM,C,15.5
9/18/17 9:01:00 PM,C,9.5
9/19/17 1:01:00 AM,C,7
9/19/17 5:01:00 AM,C,5
9/19/17 9:01:00 AM,C,5.5
9/19/17 1:01:00 PM,C,10
9/19/17 5:01:00 PM,C,15.5
9/19/17 9:01:00 PM,C,9.5
9/20/17 1:01:00 AM,C,7
9/20/17 5:01:00 AM,C,5
9/20/17 9:01:00 AM,C,5.5
9/20/17 1:01:00 PM,C,11
9/20/17 5:01:00 PM,C,17
9/20/17 9:01:00 PM,C,10
9/21/17 1:01:00 AM,C,8
9/21/17 5:01:00 AM,C,6.5
9/21/17 9:01:00 AM,C,7
9/21/17 1:01:00 PM,C,12.5
9/21/17 5:01:00 PM,C,18
9/21/17 9:01:00 PM,C,10.5
9/22/17 1:01:00 AM,C,8.5
